dataset,polluter,level,method,model,score,dsc_score,grade
UTKFace,blur,0.9,probe,knn,0.3893,80.08,B
UTKFace,target_distribution_skew,0.9,probe,ridge,0.0653,82.63,B
UTKFace,target_distribution_skew,0.9,probe,random_forest,0.3415,82.63,B
UTKFace,target_distribution_skew,0.9,probe,mlp,0.3371,82.63,B
UTKFace,target_distribution_skew,0.9,probe,knn,0.2576,82.63,B
UTKFace,target_noise,0.9,probe,ridge,0.0,78.41,B
UTKFace,target_noise,0.9,probe,random_forest,0.4224,78.41,B
UTKFace,target_noise,0.9,probe,mlp,0.0,78.41,B
UTKFace,target_noise,0.9,probe,knn,0.1443,78.41,B
SCUT_FBP5500,none,0.0,probe,ridge,0.2104,86.62,B
SCUT_FBP5500,none,0.0,probe,random_forest,0.4347,86.62,B
SCUT_FBP5500,none,0.0,probe,mlp,0.0,86.62,B
SCUT_FBP5500,none,0.0,probe,knn,0.3985,86.62,B
SCUT_FBP5500,completeness_image,0.1,probe,ridge,0.1654,85.94,B
SCUT_FBP5500,completeness_image,0.1,probe,random_forest,0.4282,85.94,B
SCUT_FBP5500,completeness_image,0.1,probe,mlp,0.0,85.94,B
SCUT_FBP5500,completeness_image,0.1,probe,knn,0.3903,85.94,B
SCUT_FBP5500,noise_injection,0.1,probe,ridge,0.0,86.34,B
SCUT_FBP5500,noise_injection,0.1,probe,random_forest,0.3984,86.34,B
SCUT_FBP5500,noise_injection,0.1,probe,mlp,0.0,86.34,B
SCUT_FBP5500,noise_injection,0.1,probe,knn,0.3735,86.34,B
SCUT_FBP5500,blur,0.1,probe,ridge,0.1994,85.67,B
SCUT_FBP5500,blur,0.1,probe,random_forest,0.4282,85.67,B
SCUT_FBP5500,blur,0.1,probe,mlp,0.0,85.67,B
SCUT_FBP5500,blur,0.1,probe,knn,0.3932,85.67,B
SCUT_FBP5500,target_distribution_skew,0.1,probe,ridge,0.1796,86.58,B
SCUT_FBP5500,target_distribution_skew,0.1,probe,random_forest,0.4327,86.58,B
SCUT_FBP5500,target_distribution_skew,0.1,probe,mlp,0.0,86.58,B
SCUT_FBP5500,target_distribution_skew,0.1,probe,knn,0.3897,86.58,B
SCUT_FBP5500,target_noise,0.1,probe,ridge,0.0669,85.11,B
SCUT_FBP5500,target_noise,0.1,probe,random_forest,0.4258,85.11,B
SCUT_FBP5500,target_noise,0.1,probe,mlp,0.0,85.11,B
SCUT_FBP5500,target_noise,0.1,probe,knn,0.3736,85.11,B
SCUT_FBP5500,completeness_image,0.3,probe,ridge,0.1278,84.49,B
SCUT_FBP5500,completeness_image,0.3,probe,random_forest,0.4066,84.49,B
SCUT_FBP5500,completeness_image,0.3,probe,mlp,0.0,84.49,B
SCUT_FBP5500,completeness_image,0.3,probe,knn,0.3491,84.49,B
SCUT_FBP5500,noise_injection,0.3,probe,ridge,0.0,84.41,B
SCUT_FBP5500,noise_injection,0.3,probe,random_forest,0.2002,84.41,B
SCUT_FBP5500,noise_injection,0.3,probe,mlp,0.0,84.41,B
SCUT_FBP5500,noise_injection,0.3,probe,knn,0.058,84.41,B
SCUT_FBP5500,blur,0.3,probe,ridge,0.0,82.49,B
SCUT_FBP5500,blur,0.3,probe,random_forest,0.394,82.49,B
SCUT_FBP5500,blur,0.3,probe,mlp,0.0,82.49,B
SCUT_FBP5500,blur,0.3,probe,knn,0.3681,82.49,B
SCUT_FBP5500,target_distribution_skew,0.3,probe,ridge,0.1736,86.53,B
SCUT_FBP5500,target_distribution_skew,0.3,probe,random_forest,0.4309,86.53,B
SCUT_FBP5500,target_distribution_skew,0.3,probe,mlp,0.0,86.53,B
SCUT_FBP5500,target_distribution_skew,0.3,probe,knn,0.3645,86.53,B
SCUT_FBP5500,target_noise,0.3,probe,ridge,0.0,82.39,B
SCUT_FBP5500,target_noise,0.3,probe,random_forest,0.4093,82.39,B
SCUT_FBP5500,target_noise,0.3,probe,mlp,0.0,82.39,B
SCUT_FBP5500,target_noise,0.3,probe,knn,0.2004,82.39,B
SCUT_FBP5500,completeness_image,0.5,probe,ridge,0.1993,83.26,B
SCUT_FBP5500,completeness_image,0.5,probe,random_forest,0.3857,83.26,B
SCUT_FBP5500,completeness_image,0.5,probe,mlp,0.0,83.26,B
SCUT_FBP5500,completeness_image,0.5,probe,knn,0.3202,83.26,B
SCUT_FBP5500,noise_injection,0.5,probe,ridge,0.0,83.18,B
SCUT_FBP5500,noise_injection,0.5,probe,random_forest,0.0,83.18,B
SCUT_FBP5500,noise_injection,0.5,probe,mlp,0.0,83.18,B
SCUT_FBP5500,noise_injection,0.5,probe,knn,0.0,83.18,B
SCUT_FBP5500,blur,0.5,probe,ridge,0.0,82.46,B
SCUT_FBP5500,blur,0.5,probe,random_forest,0.3778,82.46,B
SCUT_FBP5500,blur,0.5,probe,mlp,0.0,82.46,B
SCUT_FBP5500,blur,0.5,probe,knn,0.377,82.46,B
SCUT_FBP5500,target_distribution_skew,0.5,probe,ridge,0.0905,86.04,B
SCUT_FBP5500,target_distribution_skew,0.5,probe,random_forest,0.3938,86.04,B
SCUT_FBP5500,target_distribution_skew,0.5,probe,mlp,0.0,86.04,B
SCUT_FBP5500,target_distribution_skew,0.5,probe,knn,0.3331,86.04,B
SCUT_FBP5500,target_noise,0.5,probe,ridge,0.0,81.39,B
SCUT_FBP5500,target_noise,0.5,probe,random_forest,0.2842,81.39,B
SCUT_FBP5500,target_noise,0.5,probe,mlp,0.0,81.39,B
SCUT_FBP5500,target_noise,0.5,probe,knn,0.0,81.39,B
SCUT_FBP5500,completeness_image,0.7,probe,ridge,0.1071,81.59,B
SCUT_FBP5500,completeness_image,0.7,probe,random_forest,0.345,81.59,B
SCUT_FBP5500,completeness_image,0.7,probe,mlp,0.0,81.59,B
SCUT_FBP5500,completeness_image,0.7,probe,knn,0.3039,81.59,B
SCUT_FBP5500,noise_injection,0.7,probe,ridge,0.0,81.95,B
SCUT_FBP5500,noise_injection,0.7,probe,random_forest,0.0,81.95,B
SCUT_FBP5500,noise_injection,0.7,probe,mlp,0.0,81.95,B
SCUT_FBP5500,noise_injection,0.7,probe,knn,0.0,81.95,B
SCUT_FBP5500,blur,0.7,probe,ridge,0.0,81.74,B
SCUT_FBP5500,blur,0.7,probe,random_forest,0.3227,81.74,B
SCUT_FBP5500,blur,0.7,probe,mlp,0.0,81.74,B
SCUT_FBP5500,blur,0.7,probe,knn,0.3351,81.74,B
SCUT_FBP5500,target_distribution_skew,0.7,probe,ridge,0.0879,85.16,B
SCUT_FBP5500,target_distribution_skew,0.7,probe,random_forest,0.3528,85.16,B
SCUT_FBP5500,target_distribution_skew,0.7,probe,mlp,0.0,85.16,B
SCUT_FBP5500,target_distribution_skew,0.7,probe,knn,0.2933,85.16,B
SCUT_FBP5500,target_noise,0.7,probe,ridge,0.0,80.97,B
SCUT_FBP5500,target_noise,0.7,probe,random_forest,0.1053,80.97,B
SCUT_FBP5500,target_noise,0.7,probe,mlp,0.0,80.97,B
SCUT_FBP5500,target_noise,0.7,probe,knn,0.0,80.97,B
SCUT_FBP5500,completeness_image,0.9,probe,ridge,0.02,81.15,B
SCUT_FBP5500,completeness_image,0.9,probe,random_forest,0.3024,81.15,B
SCUT_FBP5500,completeness_image,0.9,probe,mlp,0.0,81.15,B
SCUT_FBP5500,completeness_image,0.9,probe,knn,0.2355,81.15,B
SCUT_FBP5500,noise_injection,0.9,probe,ridge,0.0,82.08,B
SCUT_FBP5500,noise_injection,0.9,probe,random_forest,0.0,82.08,B
SCUT_FBP5500,noise_injection,0.9,probe,mlp,0.0,82.08,B
SCUT_FBP5500,noise_injection,0.9,probe,knn,0.0,82.08,B
SCUT_FBP5500,blur,0.9,probe,ridge,0.0,81.62,B
SCUT_FBP5500,blur,0.9,probe,random_forest,0.2924,81.62,B
SCUT_FBP5500,blur,0.9,probe,mlp,0.0,81.62,B
SCUT_FBP5500,blur,0.9,probe,knn,0.2972,81.62,B
SCUT_FBP5500,target_distribution_skew,0.9,probe,ridge,0.056,84.03,B
SCUT_FBP5500,target_distribution_skew,0.9,probe,random_forest,0.2606,84.03,B
SCUT_FBP5500,target_distribution_skew,0.9,probe,mlp,0.0,84.03,B
SCUT_FBP5500,target_distribution_skew,0.9,probe,knn,0.1741,84.03,B
SCUT_FBP5500,target_noise,0.9,probe,ridge,0.0,80.75,B
SCUT_FBP5500,target_noise,0.9,probe,random_forest,0.0,80.75,B
SCUT_FBP5500,target_noise,0.9,probe,mlp,0.0,80.75,B
SCUT_FBP5500,target_noise,0.9,probe,knn,0.0,80.75,B
