dataset,polluter,level,method,model,score,task,dsc_score
yelp_full,target_noise,0.1,probe,mlp,0.4404,regression,83.00333333333333
yelp_full,target_noise,0.1,probe,knn,0.5155,regression,83.00333333333333
yelp_full,target_noise,0.25,probe,ridge,0.0,regression,81.96
yelp_full,target_noise,0.25,probe,random_forest,0.5831,regression,81.96
yelp_full,target_noise,0.25,probe,mlp,0.4042,regression,81.96
yelp_full,target_noise,0.25,probe,knn,0.5117,regression,81.96
yelp_full,target_noise,0.5,probe,ridge,0.0,regression,80.27
yelp_full,target_noise,0.5,probe,random_forest,0.5911,regression,80.27
yelp_full,target_noise,0.5,probe,mlp,0.2595,regression,80.27
yelp_full,target_noise,0.5,probe,knn,0.4888,regression,80.27
yelp_full,target_noise,0.75,probe,ridge,0.0,regression,79.10333333333334
yelp_full,target_noise,0.75,probe,random_forest,0.5515,regression,79.10333333333334
yelp_full,target_noise,0.75,probe,mlp,0.0,regression,79.10333333333334
yelp_full,target_noise,0.75,probe,knn,0.4451,regression,79.10333333333334
yelp_full,target_noise,0.9,probe,ridge,0.0,regression,78.62333333333333
yelp_full,target_noise,0.9,probe,random_forest,0.5646,regression,78.62333333333333
yelp_full,target_noise,0.9,probe,mlp,0.0,regression,78.62333333333333
yelp_full,target_noise,0.9,probe,knn,0.409,regression,78.62333333333333
amazon_en,completeness_text,0.1,probe,ridge,0.0,regression,76.31
amazon_en,completeness_text,0.1,probe,random_forest,0.4102,regression,76.31
amazon_en,completeness_text,0.1,probe,mlp,0.0254,regression,76.31
amazon_en,completeness_text,0.1,probe,knn,0.3804,regression,76.31
amazon_en,completeness_text,0.25,probe,ridge,0.0,regression,73.67
amazon_en,completeness_text,0.25,probe,random_forest,0.3451,regression,73.67
amazon_en,completeness_text,0.25,probe,mlp,0.0,regression,73.67
amazon_en,completeness_text,0.25,probe,knn,0.3984,regression,73.67
amazon_en,completeness_text,0.5,probe,ridge,0.0,regression,68.85000000000001
amazon_en,completeness_text,0.5,probe,random_forest,0.1832,regression,68.85000000000001
amazon_en,completeness_text,0.5,probe,mlp,0.0,regression,68.85000000000001
amazon_en,completeness_text,0.5,probe,knn,0.3067,regression,68.85000000000001
amazon_en,completeness_text,0.75,probe,ridge,0.0,regression,61.11000000000001
amazon_en,completeness_text,0.75,probe,random_forest,0.0747,regression,61.11000000000001
amazon_en,completeness_text,0.75,probe,mlp,0.0,regression,61.11000000000001
amazon_en,completeness_text,0.75,probe,knn,0.2171,regression,61.11000000000001
amazon_en,completeness_text,0.9,probe,ridge,0.0,regression,56.46
amazon_en,completeness_text,0.9,probe,random_forest,0.0,regression,56.46
amazon_en,completeness_text,0.9,probe,mlp,0.0,regression,56.46
amazon_en,completeness_text,0.9,probe,knn,0.0884,regression,56.46
amazon_en,noise_injection_text,0.1,probe,ridge,0.0,regression,76.50666666666666
amazon_en,noise_injection_text,0.1,probe,random_forest,0.3373,regression,76.50666666666666
amazon_en,noise_injection_text,0.1,probe,mlp,0.0,regression,76.50666666666666
amazon_en,noise_injection_text,0.1,probe,knn,0.3414,regression,76.50666666666666
amazon_en,noise_injection_text,0.25,probe,ridge,0.0,regression,75.77
amazon_en,noise_injection_text,0.25,probe,random_forest,0.1126,regression,75.77
amazon_en,noise_injection_text,0.25,probe,mlp,0.0,regression,75.77
amazon_en,noise_injection_text,0.25,probe,knn,0.0732,regression,75.77
amazon_en,noise_injection_text,0.5,probe,ridge,0.0,regression,75.46666666666665
amazon_en,noise_injection_text,0.5,probe,random_forest,0.0056,regression,75.46666666666665
amazon_en,noise_injection_text,0.5,probe,mlp,0.0,regression,75.46666666666665
amazon_en,noise_injection_text,0.5,probe,knn,0.0,regression,75.46666666666665
amazon_en,noise_injection_text,0.75,probe,ridge,0.0,regression,75.57000000000001
amazon_en,noise_injection_text,0.75,probe,random_forest,0.0,regression,75.57000000000001
amazon_en,noise_injection_text,0.75,probe,mlp,0.0,regression,75.57000000000001
amazon_en,noise_injection_text,0.75,probe,knn,0.0,regression,75.57000000000001
amazon_en,noise_injection_text,0.9,probe,ridge,0.0,regression,74.56333333333333
amazon_en,noise_injection_text,0.9,probe,random_forest,0.0028,regression,74.56333333333333
amazon_en,noise_injection_text,0.9,probe,mlp,0.0,regression,74.56333333333333
amazon_en,noise_injection_text,0.9,probe,knn,0.0,regression,74.56333333333333
amazon_en,word_shuffle,0.1,probe,ridge,0.0,regression,77.61
amazon_en,word_shuffle,0.1,probe,random_forest,0.4645,regression,77.61
amazon_en,word_shuffle,0.1,probe,mlp,0.2635,regression,77.61
amazon_en,word_shuffle,0.1,probe,knn,0.3508,regression,77.61
amazon_en,word_shuffle,0.25,probe,ridge,0.0,regression,77.44
amazon_en,word_shuffle,0.25,probe,random_forest,0.3886,regression,77.44
amazon_en,word_shuffle,0.25,probe,mlp,0.1935,regression,77.44
amazon_en,word_shuffle,0.25,probe,knn,0.3554,regression,77.44
amazon_en,word_shuffle,0.5,probe,ridge,0.0,regression,76.89999999999999
amazon_en,word_shuffle,0.5,probe,random_forest,0.3844,regression,76.89999999999999
amazon_en,word_shuffle,0.5,probe,mlp,0.0,regression,76.89999999999999
amazon_en,word_shuffle,0.5,probe,knn,0.3748,regression,76.89999999999999
amazon_en,word_shuffle,0.75,probe,ridge,0.0,regression,76.46
amazon_en,word_shuffle,0.75,probe,random_forest,0.3945,regression,76.46
amazon_en,word_shuffle,0.75,probe,mlp,0.0964,regression,76.46
amazon_en,word_shuffle,0.75,probe,knn,0.3914,regression,76.46
amazon_en,word_shuffle,0.9,probe,ridge,0.0,regression,77.07333333333334
amazon_en,word_shuffle,0.9,probe,random_forest,0.3745,regression,77.07333333333334
amazon_en,word_shuffle,0.9,probe,mlp,0.2283,regression,77.07333333333334
amazon_en,word_shuffle,0.9,probe,knn,0.3506,regression,77.07333333333334
amazon_en,target_distribution_skew,0.1,probe,ridge,0.0,regression,77.52333333333333
amazon_en,target_distribution_skew,0.1,probe,random_forest,0.4166,regression,77.52333333333333
amazon_en,target_distribution_skew,0.1,probe,mlp,0.3187,regression,77.52333333333333
amazon_en,target_distribution_skew,0.1,probe,knn,0.37,regression,77.52333333333333
amazon_en,target_distribution_skew,0.25,probe,ridge,0.0,regression,78.01
amazon_en,target_distribution_skew,0.25,probe,random_forest,0.3885,regression,78.01
amazon_en,target_distribution_skew,0.25,probe,mlp,0.3003,regression,78.01
amazon_en,target_distribution_skew,0.25,probe,knn,0.31,regression,78.01
amazon_en,target_distribution_skew,0.5,probe,ridge,0.0,regression,77.54333333333334
amazon_en,target_distribution_skew,0.5,probe,random_forest,0.3282,regression,77.54333333333334
amazon_en,target_distribution_skew,0.5,probe,mlp,0.2344,regression,77.54333333333334
amazon_en,target_distribution_skew,0.5,probe,knn,0.2018,regression,77.54333333333334
amazon_en,target_distribution_skew,0.75,probe,ridge,0.0,regression,77.29666666666667
amazon_en,target_distribution_skew,0.75,probe,random_forest,0.2016,regression,77.29666666666667
amazon_en,target_distribution_skew,0.75,probe,mlp,0.116,regression,77.29666666666667
amazon_en,target_distribution_skew,0.75,probe,knn,0.0073,regression,77.29666666666667
amazon_en,target_distribution_skew,0.9,probe,ridge,0.0,regression,76.44333333333333
amazon_en,target_distribution_skew,0.9,probe,random_forest,0.0,regression,76.44333333333333
amazon_en,target_distribution_skew,0.9,probe,mlp,0.0,regression,76.44333333333333
amazon_en,target_distribution_skew,0.9,probe,knn,0.0,regression,76.44333333333333
amazon_en,target_noise,0.1,probe,ridge,0.0,regression,80.75
amazon_en,target_noise,0.1,probe,random_forest,0.4631,regression,80.75
amazon_en,target_noise,0.1,probe,mlp,0.3227,regression,80.75
amazon_en,target_noise,0.1,probe,knn,0.3682,regression,80.75
amazon_en,target_noise,0.25,probe,ridge,0.0,regression,79.87
amazon_en,target_noise,0.25,probe,random_forest,0.4514,regression,79.87
amazon_en,target_noise,0.25,probe,mlp,0.3007,regression,79.87
amazon_en,target_noise,0.25,probe,knn,0.3513,regression,79.87
amazon_en,target_noise,0.5,probe,ridge,0.0,regression,78.39999999999999
amazon_en,target_noise,0.5,probe,random_forest,0.4571,regression,78.39999999999999
amazon_en,target_noise,0.5,probe,mlp,0.2008,regression,78.39999999999999
amazon_en,target_noise,0.5,probe,knn,0.3071,regression,78.39999999999999
amazon_en,target_noise,0.75,probe,ridge,0.0,regression,77.39666666666666
amazon_en,target_noise,0.75,probe,random_forest,0.4197,regression,77.39666666666666
amazon_en,target_noise,0.75,probe,mlp,0.0366,regression,77.39666666666666
amazon_en,target_noise,0.75,probe,knn,0.2432,regression,77.39666666666666
amazon_en,target_noise,0.9,probe,ridge,0.0,regression,77.01666666666667
amazon_en,target_noise,0.9,probe,random_forest,0.413,regression,77.01666666666667
amazon_en,target_noise,0.9,probe,mlp,0.0,regression,77.01666666666667
amazon_en,target_noise,0.9,probe,knn,0.1953,regression,77.01666666666667
sst5,completeness_text,0.1,probe,ridge,0.0,regression,74.94666666666667
sst5,completeness_text,0.1,probe,random_forest,0.3256,regression,74.94666666666667
sst5,completeness_text,0.1,probe,mlp,0.0,regression,74.94666666666667
sst5,completeness_text,0.1,probe,knn,0.2823,regression,74.94666666666667
sst5,completeness_text,0.25,probe,ridge,0.0,regression,72.32333333333334
sst5,completeness_text,0.25,probe,random_forest,0.2394,regression,72.32333333333334
sst5,completeness_text,0.25,probe,mlp,0.0,regression,72.32333333333334
sst5,completeness_text,0.25,probe,knn,0.2544,regression,72.32333333333334
sst5,completeness_text,0.5,probe,ridge,0.0,regression,68.15666666666667
sst5,completeness_text,0.5,probe,random_forest,0.1375,regression,68.15666666666667
sst5,completeness_text,0.5,probe,mlp,0.0,regression,68.15666666666667
sst5,completeness_text,0.5,probe,knn,0.2299,regression,68.15666666666667
sst5,completeness_text,0.75,probe,ridge,0.0,regression,61.403333333333336
sst5,completeness_text,0.75,probe,random_forest,0.0909,regression,61.403333333333336
sst5,completeness_text,0.75,probe,mlp,0.0,regression,61.403333333333336
sst5,completeness_text,0.75,probe,knn,0.1396,regression,61.403333333333336
sst5,completeness_text,0.9,probe,ridge,0.0,regression,56.133333333333326
sst5,completeness_text,0.9,probe,random_forest,0.0059,regression,56.133333333333326
sst5,completeness_text,0.9,probe,mlp,0.0,regression,56.133333333333326
sst5,completeness_text,0.9,probe,knn,0.0,regression,56.133333333333326
sst5,noise_injection_text,0.1,probe,ridge,0.0,regression,75.61333333333333
sst5,noise_injection_text,0.1,probe,random_forest,0.2159,regression,75.61333333333333
sst5,noise_injection_text,0.1,probe,mlp,0.0,regression,75.61333333333333
sst5,noise_injection_text,0.1,probe,knn,0.2491,regression,75.61333333333333
sst5,noise_injection_text,0.25,probe,ridge,0.0,regression,74.97333333333334
sst5,noise_injection_text,0.25,probe,random_forest,0.0627,regression,74.97333333333334
sst5,noise_injection_text,0.25,probe,mlp,0.0,regression,74.97333333333334
sst5,noise_injection_text,0.25,probe,knn,0.1018,regression,74.97333333333334
sst5,noise_injection_text,0.5,probe,ridge,0.0,regression,74.89
sst5,noise_injection_text,0.5,probe,random_forest,0.0304,regression,74.89
sst5,noise_injection_text,0.5,probe,mlp,0.0,regression,74.89
sst5,noise_injection_text,0.5,probe,knn,0.003,regression,74.89
