dataset,polluter,level,model,accuracy,epochs,train_n,test_n,dsc_score,grade
FashionMNIST,class_balance,0.9,ResNet18,0.7965,10,,,80.26,B
FashionMNIST,class_balance,0.9,CNNSimple,0.1574,10,,,80.26,B
FashionMNIST,completeness_image,0.1,ResNet18,0.8936,10,,,85.66,B
FashionMNIST,completeness_image,0.1,CNNSimple,0.541,10,,,85.66,B
FashionMNIST,completeness_image,0.5,ResNet18,0.8625,10,,,83.02,B
FashionMNIST,completeness_image,0.5,CNNSimple,0.5252,10,,,83.02,B
FashionMNIST,completeness_image,0.9,ResNet18,0.8761,10,,,80.95,B
FashionMNIST,completeness_image,0.9,CNNSimple,0.4269,10,,,80.95,B
FashionMNIST,label_swap,0.1,ResNet18,0.7833,10,,,83.6,B
FashionMNIST,label_swap,0.1,CNNSimple,0.6224,10,,,83.6,B
FashionMNIST,label_swap,0.5,ResNet18,0.5323,10,,,73.91,C
FashionMNIST,label_swap,0.5,CNNSimple,0.4348,10,,,73.91,C
FashionMNIST,label_swap,0.9,ResNet18,0.1496,10,,,69.69,C
FashionMNIST,label_swap,0.9,CNNSimple,0.1029,10,,,69.69,C
FashionMNIST,noise_injection,0.1,ResNet18,0.8735,10,,,88.64,B
FashionMNIST,noise_injection,0.1,CNNSimple,0.6358,10,,,88.64,B
FashionMNIST,noise_injection,0.5,ResNet18,0.8281,10,,,86.34,B
FashionMNIST,noise_injection,0.5,CNNSimple,0.498,10,,,86.34,B
FashionMNIST,noise_injection,0.9,ResNet18,0.8342,10,,,82.75,B
FashionMNIST,noise_injection,0.9,CNNSimple,0.4106,10,,,82.75,B
