dataset,polluter,level,score,grade,completeness_image,uniqueness,validity,consistency,outlier_ratio,target_distribution_quality,sample_quality_image,signal_integrity,feature_correlation,target_smoothness,feature_informativeness_reg
SCUT_FBP5500,completeness_image,0.7,81.59,B,0.7887,1.0,1.0,1.0,0.988,0.8742,0.9922,0.9739,1.0,0.3142,1.0
SCUT_FBP5500,noise_injection,0.7,81.95,B,0.9924,1.0,1.0,1.0,0.993,0.8742,0.9996,0.0185,1.0,0.4134,1.0
SCUT_FBP5500,blur,0.7,81.74,B,0.9982,1.0,1.0,1.0,0.994,0.8742,0.5052,0.9917,1.0,0.4023,1.0
SCUT_FBP5500,target_distribution_skew,0.7,85.16,B,0.9972,1.0,1.0,1.0,0.9939,0.7995,0.9698,0.9669,1.0,0.3853,1.0
SCUT_FBP5500,target_noise,0.7,80.97,B,0.9968,1.0,1.0,1.0,0.994,0.8034,0.9681,0.9662,1.0,0.1752,1.0
SCUT_FBP5500,completeness_image,0.9,81.15,B,0.7294,1.0,1.0,1.0,0.972,0.8742,0.998,0.9762,1.0,0.3372,1.0
SCUT_FBP5500,noise_injection,0.9,82.08,B,0.9904,1.0,1.0,1.0,0.991,0.8742,0.9997,0.0014,1.0,0.4262,1.0
SCUT_FBP5500,blur,0.9,81.62,B,0.9985,1.0,1.0,1.0,0.994,0.8742,0.5039,0.9918,1.0,0.3969,1.0
SCUT_FBP5500,target_distribution_skew,0.9,84.03,B,0.9974,1.0,1.0,1.0,0.9961,0.7469,0.97,0.967,1.0,0.3544,1.0
SCUT_FBP5500,target_noise,0.9,80.75,B,0.9968,1.0,1.0,1.0,0.994,0.7947,0.9681,0.9662,1.0,0.1682,1.0
