dataset,polluter,level,method,model,score
SCUT_FBP5500,noise_injection,0.1,probe,mlp,0.0
SCUT_FBP5500,noise_injection,0.1,probe,knn,0.3735
SCUT_FBP5500,blur,0.1,probe,ridge,0.1994
SCUT_FBP5500,blur,0.1,probe,random_forest,0.4282
SCUT_FBP5500,blur,0.1,probe,mlp,0.0
SCUT_FBP5500,blur,0.1,probe,knn,0.3932
SCUT_FBP5500,target_distribution_skew,0.1,probe,ridge,0.1796
SCUT_FBP5500,target_distribution_skew,0.1,probe,random_forest,0.4327
SCUT_FBP5500,target_distribution_skew,0.1,probe,mlp,0.0
SCUT_FBP5500,target_distribution_skew,0.1,probe,knn,0.3897
SCUT_FBP5500,target_noise,0.1,probe,ridge,0.0669
SCUT_FBP5500,target_noise,0.1,probe,random_forest,0.4258
SCUT_FBP5500,target_noise,0.1,probe,mlp,0.0
SCUT_FBP5500,target_noise,0.1,probe,knn,0.3736
SCUT_FBP5500,completeness_image,0.3,probe,ridge,0.1278
SCUT_FBP5500,completeness_image,0.3,probe,random_forest,0.4066
SCUT_FBP5500,completeness_image,0.3,probe,mlp,0.0
SCUT_FBP5500,completeness_image,0.3,probe,knn,0.3491
SCUT_FBP5500,noise_injection,0.3,probe,ridge,0.0
SCUT_FBP5500,noise_injection,0.3,probe,random_forest,0.2002
SCUT_FBP5500,noise_injection,0.3,probe,mlp,0.0
SCUT_FBP5500,noise_injection,0.3,probe,knn,0.058
SCUT_FBP5500,blur,0.3,probe,ridge,0.0
SCUT_FBP5500,blur,0.3,probe,random_forest,0.394
SCUT_FBP5500,blur,0.3,probe,mlp,0.0
SCUT_FBP5500,blur,0.3,probe,knn,0.3681
SCUT_FBP5500,target_distribution_skew,0.3,probe,ridge,0.1736
SCUT_FBP5500,target_distribution_skew,0.3,probe,random_forest,0.4309
SCUT_FBP5500,target_distribution_skew,0.3,probe,mlp,0.0
SCUT_FBP5500,target_distribution_skew,0.3,probe,knn,0.3645
SCUT_FBP5500,target_noise,0.3,probe,ridge,0.0
SCUT_FBP5500,target_noise,0.3,probe,random_forest,0.4093
SCUT_FBP5500,target_noise,0.3,probe,mlp,0.0
SCUT_FBP5500,target_noise,0.3,probe,knn,0.2004
SCUT_FBP5500,completeness_image,0.5,probe,ridge,0.1993
SCUT_FBP5500,completeness_image,0.5,probe,random_forest,0.3857
SCUT_FBP5500,completeness_image,0.5,probe,mlp,0.0
SCUT_FBP5500,completeness_image,0.5,probe,knn,0.3202
SCUT_FBP5500,noise_injection,0.5,probe,ridge,0.0
SCUT_FBP5500,noise_injection,0.5,probe,random_forest,0.0
SCUT_FBP5500,noise_injection,0.5,probe,mlp,0.0
SCUT_FBP5500,noise_injection,0.5,probe,knn,0.0
SCUT_FBP5500,blur,0.5,probe,ridge,0.0
SCUT_FBP5500,blur,0.5,probe,random_forest,0.3778
SCUT_FBP5500,blur,0.5,probe,mlp,0.0
SCUT_FBP5500,blur,0.5,probe,knn,0.377
SCUT_FBP5500,target_distribution_skew,0.5,probe,ridge,0.0905
SCUT_FBP5500,target_distribution_skew,0.5,probe,random_forest,0.3938
SCUT_FBP5500,target_distribution_skew,0.5,probe,mlp,0.0
SCUT_FBP5500,target_distribution_skew,0.5,probe,knn,0.3331
SCUT_FBP5500,target_noise,0.5,probe,ridge,0.0
SCUT_FBP5500,target_noise,0.5,probe,random_forest,0.2842
SCUT_FBP5500,target_noise,0.5,probe,mlp,0.0
SCUT_FBP5500,target_noise,0.5,probe,knn,0.0
SCUT_FBP5500,completeness_image,0.7,probe,ridge,0.1071
SCUT_FBP5500,completeness_image,0.7,probe,random_forest,0.345
SCUT_FBP5500,completeness_image,0.7,probe,mlp,0.0
SCUT_FBP5500,completeness_image,0.7,probe,knn,0.3039
SCUT_FBP5500,noise_injection,0.7,probe,ridge,0.0
SCUT_FBP5500,noise_injection,0.7,probe,random_forest,0.0
SCUT_FBP5500,noise_injection,0.7,probe,mlp,0.0
SCUT_FBP5500,noise_injection,0.7,probe,knn,0.0
SCUT_FBP5500,blur,0.7,probe,ridge,0.0
SCUT_FBP5500,blur,0.7,probe,random_forest,0.3227
SCUT_FBP5500,blur,0.7,probe,mlp,0.0
SCUT_FBP5500,blur,0.7,probe,knn,0.3351
SCUT_FBP5500,target_distribution_skew,0.7,probe,ridge,0.0879
SCUT_FBP5500,target_distribution_skew,0.7,probe,random_forest,0.3528
SCUT_FBP5500,target_distribution_skew,0.7,probe,mlp,0.0
SCUT_FBP5500,target_distribution_skew,0.7,probe,knn,0.2933
SCUT_FBP5500,target_noise,0.7,probe,ridge,0.0
SCUT_FBP5500,target_noise,0.7,probe,random_forest,0.1053
SCUT_FBP5500,target_noise,0.7,probe,mlp,0.0
SCUT_FBP5500,target_noise,0.7,probe,knn,0.0
SCUT_FBP5500,completeness_image,0.9,probe,ridge,0.02
SCUT_FBP5500,completeness_image,0.9,probe,random_forest,0.3024
SCUT_FBP5500,completeness_image,0.9,probe,mlp,0.0
SCUT_FBP5500,completeness_image,0.9,probe,knn,0.2355
SCUT_FBP5500,noise_injection,0.9,probe,ridge,0.0
SCUT_FBP5500,noise_injection,0.9,probe,random_forest,0.0
SCUT_FBP5500,noise_injection,0.9,probe,mlp,0.0
SCUT_FBP5500,noise_injection,0.9,probe,knn,0.0
SCUT_FBP5500,blur,0.9,probe,ridge,0.0
SCUT_FBP5500,blur,0.9,probe,random_forest,0.2924
SCUT_FBP5500,blur,0.9,probe,mlp,0.0
SCUT_FBP5500,blur,0.9,probe,knn,0.2972
SCUT_FBP5500,target_distribution_skew,0.9,probe,ridge,0.056
SCUT_FBP5500,target_distribution_skew,0.9,probe,random_forest,0.2606
SCUT_FBP5500,target_distribution_skew,0.9,probe,mlp,0.0
SCUT_FBP5500,target_distribution_skew,0.9,probe,knn,0.1741
SCUT_FBP5500,target_noise,0.9,probe,ridge,0.0
SCUT_FBP5500,target_noise,0.9,probe,random_forest,0.0
SCUT_FBP5500,target_noise,0.9,probe,mlp,0.0
SCUT_FBP5500,target_noise,0.9,probe,knn,0.0
