dataset,polluter,level,model,accuracy,f1_macro,auc_roc,score,grade,completeness,uniqueness,validity,consistency,outlier_ratio,class_balance,feature_correlation,label_consistency,feature_informativeness
SouthGermanCredit,completeness,0.25,RandomForest,0.77,0.6891,0.7842,64.74,C,0.75,1.0,1.0,1.0,0.8721,0.6,1.0,0.0518,0.3342
SouthGermanCredit,completeness,0.25,SVC,0.67,0.6498,0.7704,64.74,C,0.75,1.0,1.0,1.0,0.8721,0.6,1.0,0.0518,0.3342
SouthGermanCredit,completeness,0.25,XGBoost,0.79,0.745,0.7894,64.74,C,0.75,1.0,1.0,1.0,0.8721,0.6,1.0,0.0518,0.3342
SouthGermanCredit,completeness,0.5,LogisticRegression,0.76,0.692,0.7795,58.9,D,0.5,1.0,1.0,1.0,0.8071,0.6,1.0,0.0797,0.2275
SouthGermanCredit,completeness,0.5,MLP,0.7,0.5828,0.7327,58.9,D,0.5,1.0,1.0,1.0,0.8071,0.6,1.0,0.0797,0.2275
SouthGermanCredit,completeness,0.5,RandomForest,0.785,0.6942,0.7867,58.9,D,0.5,1.0,1.0,1.0,0.8071,0.6,1.0,0.0797,0.2275
SouthGermanCredit,completeness,0.5,SVC,0.695,0.6659,0.772,58.9,D,0.5,1.0,1.0,1.0,0.8071,0.6,1.0,0.0797,0.2275
SouthGermanCredit,completeness,0.5,XGBoost,0.74,0.6533,0.7502,58.9,D,0.5,1.0,1.0,1.0,0.8071,0.6,1.0,0.0797,0.2275
SouthGermanCredit,completeness,0.75,LogisticRegression,0.7,0.6658,0.7702,51.65,D,0.25,0.9938,1.0,1.0,0.7367,0.6,1.0,0.0329,0.1404
SouthGermanCredit,completeness,0.75,MLP,0.7,0.4274,0.6604,51.65,D,0.25,0.9938,1.0,1.0,0.7367,0.6,1.0,0.0329,0.1404
SouthGermanCredit,completeness,0.75,RandomForest,0.705,0.5057,0.7381,51.65,D,0.25,0.9938,1.0,1.0,0.7367,0.6,1.0,0.0329,0.1404
