dataset,polluter,level,model,accuracy,f1_macro,auc_roc,score,grade,completeness,uniqueness,validity,consistency,outlier_ratio,class_balance,feature_correlation,label_consistency,feature_informativeness
TelcoCustomerChurn,class_balance,0.25,LogisticRegression,0.7764,0.7285,0.8347,84.23,B,1.0,1.0,1.0,1.0,1.0,0.7505,1.0,0.3362,1.0
TelcoCustomerChurn,class_balance,0.25,MLP,0.7317,0.6837,0.7715,84.23,B,1.0,1.0,1.0,1.0,1.0,0.7505,1.0,0.3362,1.0
TelcoCustomerChurn,class_balance,0.25,RandomForest,0.7679,0.7161,0.8096,84.23,B,1.0,1.0,1.0,1.0,1.0,0.7505,1.0,0.3362,1.0
TelcoCustomerChurn,class_balance,0.25,SVC,0.7239,0.697,0.8346,84.23,B,1.0,1.0,1.0,1.0,1.0,0.7505,1.0,0.3362,1.0
TelcoCustomerChurn,class_balance,0.25,XGBoost,0.7466,0.697,0.7988,84.23,B,1.0,1.0,1.0,1.0,1.0,0.7505,1.0,0.3362,1.0
TelcoCustomerChurn,class_balance,0.5,LogisticRegression,0.8084,0.7373,0.8348,80.5,B,1.0,1.0,1.0,1.0,1.0,0.5003,1.0,0.275,1.0
TelcoCustomerChurn,class_balance,0.5,MLP,0.7331,0.6413,0.749,80.5,B,1.0,1.0,1.0,1.0,1.0,0.5003,1.0,0.275,1.0
TelcoCustomerChurn,class_balance,0.5,RandomForest,0.7821,0.692,0.8103,80.5,B,1.0,1.0,1.0,1.0,1.0,0.5003,1.0,0.275,1.0
TelcoCustomerChurn,class_balance,0.5,SVC,0.7033,0.6807,0.8305,80.5,B,1.0,1.0,1.0,1.0,1.0,0.5003,1.0,0.275,1.0
TelcoCustomerChurn,class_balance,0.5,XGBoost,0.7708,0.6873,0.8028,80.5,B,1.0,1.0,1.0,1.0,1.0,0.5003,1.0,0.275,1.0
TelcoCustomerChurn,class_balance,0.75,LogisticRegression,0.7743,0.5825,0.8376,76.39,B,1.0,1.0,1.0,1.0,1.0,0.2502,1.0,0.1944,1.0
TelcoCustomerChurn,class_balance,0.75,MLP,0.7551,0.6343,0.7701,76.39,B,1.0,1.0,1.0,1.0,1.0,0.2502,1.0,0.1944,1.0
TelcoCustomerChurn,class_balance,0.75,RandomForest,0.78,0.6266,0.8139,76.39,B,1.0,1.0,1.0,1.0,1.0,0.2502,1.0,0.1944,1.0
TelcoCustomerChurn,class_balance,0.75,SVC,0.7275,0.6999,0.8344,76.39,B,1.0,1.0,1.0,1.0,1.0,0.2502,1.0,0.1944,1.0
TelcoCustomerChurn,class_balance,0.75,XGBoost,0.7708,0.6274,0.8037,76.39,B,1.0,1.0,1.0,1.0,1.0,0.2502,1.0,0.1944,1.0
TelcoCustomerChurn,class_balance,0.9,LogisticRegression,0.7346,0.4235,0.8325,72.37,C,1.0,1.0,1.0,1.0,1.0,0.1003,1.0,0.0684,1.0
TelcoCustomerChurn,class_balance,0.9,MLP,0.7495,0.5755,0.7782,72.37,C,1.0,1.0,1.0,1.0,1.0,0.1003,1.0,0.0684,1.0
TelcoCustomerChurn,class_balance,0.9,RandomForest,0.7431,0.4726,0.7937,72.37,C,1.0,1.0,1.0,1.0,1.0,0.1003,1.0,0.0684,1.0
TelcoCustomerChurn,class_balance,0.9,SVC,0.731,0.7017,0.8302,72.37,C,1.0,1.0,1.0,1.0,1.0,0.1003,1.0,0.0684,1.0
TelcoCustomerChurn,class_balance,0.9,XGBoost,0.7445,0.5003,0.8,72.37,C,1.0,1.0,1.0,1.0,1.0,0.1003,1.0,0.0684,1.0
TelcoCustomerChurn,class_balance,0.95,LogisticRegression,0.7346,0.4235,0.8232,70.76,C,1.0,1.0,1.0,1.0,1.0,0.0502,1.0,0.1099,0.8064
TelcoCustomerChurn,class_balance,0.95,MLP,0.748,0.5004,0.7864,70.76,C,1.0,1.0,1.0,1.0,1.0,0.0502,1.0,0.1099,0.8064
TelcoCustomerChurn,class_balance,0.95,RandomForest,0.7388,0.4452,0.7476,70.76,C,1.0,1.0,1.0,1.0,1.0,0.0502,1.0,0.1099,0.8064
TelcoCustomerChurn,class_balance,0.95,SVC,0.7175,0.689,0.8185,70.76,C,1.0,1.0,1.0,1.0,1.0,0.0502,1.0,0.1099,0.8064
TelcoCustomerChurn,class_balance,0.95,XGBoost,0.7445,0.4756,0.7607,70.76,C,1.0,1.0,1.0,1.0,1.0,0.0502,1.0,0.1099,0.8064
TelcoCustomerChurn,completeness,0.1,LogisticRegression,0.8062,0.7373,0.8317,78.46,B,0.9051,1.0,1.0,1.0,1.0,0.5307,1.0,0.2527,1.0
TelcoCustomerChurn,completeness,0.1,MLP,0.7537,0.6489,0.7632,78.46,B,0.9051,1.0,1.0,1.0,1.0,0.5307,1.0,0.2527,1.0
TelcoCustomerChurn,completeness,0.1,RandomForest,0.7828,0.6947,0.8202,78.46,B,0.9051,1.0,1.0,1.0,1.0,0.5307,1.0,0.2527,1.0
TelcoCustomerChurn,completeness,0.1,SVC,0.7218,0.6954,0.83,78.46,B,0.9051,1.0,1.0,1.0,1.0,0.5307,1.0,0.2527,1.0
TelcoCustomerChurn,completeness,0.1,XGBoost,0.7793,0.7091,0.8147,78.46,B,0.9051,1.0,1.0,1.0,1.0,0.5307,1.0,0.2527,1.0
TelcoCustomerChurn,completeness,0.25,LogisticRegression,0.8055,0.735,0.8318,74.55,C,0.7626,1.0,1.0,1.0,1.0,0.5307,1.0,0.1995,1.0
TelcoCustomerChurn,completeness,0.25,MLP,0.7246,0.651,0.756,74.55,C,0.7626,1.0,1.0,1.0,1.0,0.5307,1.0,0.1995,1.0
TelcoCustomerChurn,completeness,0.25,RandomForest,0.7928,0.7105,0.8217,74.55,C,0.7626,1.0,1.0,1.0,1.0,0.5307,1.0,0.1995,1.0
TelcoCustomerChurn,completeness,0.25,SVC,0.7331,0.7012,0.8325,74.55,C,0.7626,1.0,1.0,1.0,1.0,0.5307,1.0,0.1995,1.0
TelcoCustomerChurn,completeness,0.25,XGBoost,0.78,0.7139,0.8069,74.55,C,0.7626,1.0,1.0,1.0,1.0,0.5307,1.0,0.1995,1.0
TelcoCustomerChurn,completeness,0.5,LogisticRegression,0.7977,0.7213,0.8273,66.91,C,0.525,1.0,1.0,1.0,1.0,0.5307,1.0,0.1889,0.7326
TelcoCustomerChurn,completeness,0.5,MLP,0.7573,0.6737,0.7874,66.91,C,0.525,1.0,1.0,1.0,1.0,0.5307,1.0,0.1889,0.7326
TelcoCustomerChurn,completeness,0.5,RandomForest,0.8006,0.7118,0.8193,66.91,C,0.525,1.0,1.0,1.0,1.0,0.5307,1.0,0.1889,0.7326
TelcoCustomerChurn,completeness,0.5,SVC,0.7566,0.7185,0.8284,66.91,C,0.525,1.0,1.0,1.0,1.0,0.5307,1.0,0.1889,0.7326
TelcoCustomerChurn,completeness,0.5,XGBoost,0.7786,0.6988,0.8079,66.91,C,0.525,1.0,1.0,1.0,1.0,0.5307,1.0,0.1889,0.7326
TelcoCustomerChurn,completeness,0.75,LogisticRegression,0.7984,0.7356,0.82,57.22,D,0.2876,0.9798,1.0,1.0,1.0,0.5307,1.0,0.1425,0.3617
TelcoCustomerChurn,completeness,0.75,MLP,0.7339,0.4309,0.6999,57.22,D,0.2876,0.9798,1.0,1.0,1.0,0.5307,1.0,0.1425,0.3617
TelcoCustomerChurn,completeness,0.75,RandomForest,0.7835,0.6398,0.8108,57.22,D,0.2876,0.9798,1.0,1.0,1.0,0.5307,1.0,0.1425,0.3617
TelcoCustomerChurn,completeness,0.75,SVC,0.7899,0.7385,0.8203,57.22,D,0.2876,0.9798,1.0,1.0,1.0,0.5307,1.0,0.1425,0.3617
TelcoCustomerChurn,completeness,0.75,XGBoost,0.7665,0.6693,0.7677,57.22,D,0.2876,0.9798,1.0,1.0,1.0,0.5307,1.0,0.1425,0.3617
TelcoCustomerChurn,completeness,0.9,LogisticRegression,0.748,0.7134,0.8107,45.9,D,0.1451,0.6013,1.0,1.0,1.0,0.5307,1.0,0.0995,0.168
TelcoCustomerChurn,completeness,0.9,MLP,0.7346,0.4235,0.7779,45.9,D,0.1451,0.6013,1.0,1.0,1.0,0.5307,1.0,0.0995,0.168
TelcoCustomerChurn,completeness,0.9,RandomForest,0.7502,0.5188,0.7975,45.9,D,0.1451,0.6013,1.0,1.0,1.0,0.5307,1.0,0.0995,0.168
TelcoCustomerChurn,completeness,0.9,SVC,0.785,0.6885,0.8058,45.9,D,0.1451,0.6013,1.0,1.0,1.0,0.5307,1.0,0.0995,0.168
TelcoCustomerChurn,completeness,0.9,XGBoost,0.7686,0.6234,0.7472,45.9,D,0.1451,0.6013,1.0,1.0,1.0,0.5307,1.0,0.0995,0.168
TelcoCustomerChurn,completeness,0.95,LogisticRegression,0.7594,0.718,0.8114,39.86,D,0.0976,0.3151,1.0,1.0,1.0,0.5307,1.0,0.0571,0.1734
TelcoCustomerChurn,completeness,0.95,MLP,0.7346,0.4235,0.7653,39.86,D,0.0976,0.3151,1.0,1.0,1.0,0.5307,1.0,0.0571,0.1734
TelcoCustomerChurn,completeness,0.95,RandomForest,0.758,0.6884,0.78,39.86,D,0.0976,0.3151,1.0,1.0,1.0,0.5307,1.0,0.0571,0.1734
TelcoCustomerChurn,completeness,0.95,SVC,0.7488,0.4843,0.8099,39.86,D,0.0976,0.3151,1.0,1.0,1.0,0.5307,1.0,0.0571,0.1734
TelcoCustomerChurn,completeness,0.95,XGBoost,0.692,0.6009,0.6825,39.86,D,0.0976,0.3151,1.0,1.0,1.0,0.5307,1.0,0.0571,0.1734
TelcoCustomerChurn,consistent_repr,0.1,LogisticRegression,0.8084,0.7449,0.8346,79.75,B,1.0,1.0,1.0,0.9001,1.0,0.5307,1.0,0.2721,1.0
TelcoCustomerChurn,consistent_repr,0.1,MLP,0.7303,0.6708,0.7575,79.75,B,1.0,1.0,1.0,0.9001,1.0,0.5307,1.0,0.2721,1.0
TelcoCustomerChurn,consistent_repr,0.1,RandomForest,0.7963,0.7176,0.8244,79.75,B,1.0,1.0,1.0,0.9001,1.0,0.5307,1.0,0.2721,1.0
TelcoCustomerChurn,consistent_repr,0.1,SVC,0.7204,0.6946,0.8347,79.75,B,1.0,1.0,1.0,0.9001,1.0,0.5307,1.0,0.2721,1.0
TelcoCustomerChurn,consistent_repr,0.1,XGBoost,0.7991,0.7298,0.8218,79.75,B,1.0,1.0,1.0,0.9001,1.0,0.5307,1.0,0.2721,1.0
TelcoCustomerChurn,consistent_repr,0.25,LogisticRegression,0.8098,0.7453,0.8346,78.25,B,1.0,1.0,1.0,0.7501,1.0,0.5307,1.0,0.2721,1.0
TelcoCustomerChurn,consistent_repr,0.25,MLP,0.731,0.6719,0.7566,78.25,B,1.0,1.0,1.0,0.7501,1.0,0.5307,1.0,0.2721,1.0
TelcoCustomerChurn,consistent_repr,0.25,RandomForest,0.7899,0.7114,0.8233,78.25,B,1.0,1.0,1.0,0.7501,1.0,0.5307,1.0,0.2721,1.0
TelcoCustomerChurn,consistent_repr,0.25,SVC,0.7104,0.6884,0.8354,78.25,B,1.0,1.0,1.0,0.7501,1.0,0.5307,1.0,0.2721,1.0
TelcoCustomerChurn,consistent_repr,0.25,XGBoost,0.7771,0.701,0.8073,78.25,B,1.0,1.0,1.0,0.7501,1.0,0.5307,1.0,0.2721,1.0
TelcoCustomerChurn,consistent_repr,0.5,LogisticRegression,0.8141,0.7435,0.8355,75.75,B,1.0,1.0,1.0,0.5,1.0,0.5307,1.0,0.2721,1.0
TelcoCustomerChurn,consistent_repr,0.5,MLP,0.7246,0.5922,0.724,75.75,B,1.0,1.0,1.0,0.5,1.0,0.5307,1.0,0.2721,1.0
TelcoCustomerChurn,consistent_repr,0.5,RandomForest,0.7963,0.7015,0.8257,75.75,B,1.0,1.0,1.0,0.5,1.0,0.5307,1.0,0.2721,1.0
TelcoCustomerChurn,consistent_repr,0.5,SVC,0.7282,0.7005,0.835,75.75,B,1.0,1.0,1.0,0.5,1.0,0.5307,1.0,0.2721,1.0
TelcoCustomerChurn,consistent_repr,0.5,XGBoost,0.7644,0.6869,0.8063,75.75,B,1.0,1.0,1.0,0.5,1.0,0.5307,1.0,0.2721,1.0
TelcoCustomerChurn,consistent_repr,0.75,LogisticRegression,0.8048,0.7305,0.8294,73.25,C,1.0,1.0,1.0,0.2501,1.0,0.5307,1.0,0.2721,1.0
TelcoCustomerChurn,consistent_repr,0.75,MLP,0.7346,0.4868,0.6481,73.25,C,1.0,1.0,1.0,0.2501,1.0,0.5307,1.0,0.2721,1.0
TelcoCustomerChurn,consistent_repr,0.75,RandomForest,0.78,0.6195,0.8114,73.25,C,1.0,1.0,1.0,0.2501,1.0,0.5307,1.0,0.2721,1.0
TelcoCustomerChurn,consistent_repr,0.75,SVC,0.7239,0.6967,0.8323,73.25,C,1.0,1.0,1.0,0.2501,1.0,0.5307,1.0,0.2721,1.0
TelcoCustomerChurn,consistent_repr,0.75,XGBoost,0.763,0.6153,0.7781,73.25,C,1.0,1.0,1.0,0.2501,1.0,0.5307,1.0,0.2721,1.0
TelcoCustomerChurn,consistent_repr,0.9,LogisticRegression,0.7807,0.7136,0.8118,71.75,C,1.0,1.0,1.0,0.1001,1.0,0.5307,1.0,0.2721,1.0
TelcoCustomerChurn,consistent_repr,0.9,MLP,0.7367,0.437,0.7343,71.75,C,1.0,1.0,1.0,0.1001,1.0,0.5307,1.0,0.2721,1.0
TelcoCustomerChurn,consistent_repr,0.9,RandomForest,0.736,0.4292,0.747,71.75,C,1.0,1.0,1.0,0.1001,1.0,0.5307,1.0,0.2721,1.0
TelcoCustomerChurn,consistent_repr,0.9,SVC,0.7374,0.7083,0.807,71.75,C,1.0,1.0,1.0,0.1001,1.0,0.5307,1.0,0.2721,1.0
TelcoCustomerChurn,consistent_repr,0.9,XGBoost,0.7708,0.6336,0.7744,71.75,C,1.0,1.0,1.0,0.1001,1.0,0.5307,1.0,0.2721,1.0
TelcoCustomerChurn,consistent_repr,0.95,LogisticRegression,0.7899,0.6881,0.8097,71.25,C,1.0,1.0,1.0,0.0501,1.0,0.5307,1.0,0.2721,1.0
TelcoCustomerChurn,consistent_repr,0.95,MLP,0.7346,0.4235,0.7678,71.25,C,1.0,1.0,1.0,0.0501,1.0,0.5307,1.0,0.2721,1.0
TelcoCustomerChurn,consistent_repr,0.95,RandomForest,0.7523,0.5049,0.811,71.25,C,1.0,1.0,1.0,0.0501,1.0,0.5307,1.0,0.2721,1.0
TelcoCustomerChurn,consistent_repr,0.95,SVC,0.7587,0.7084,0.8028,71.25,C,1.0,1.0,1.0,0.0501,1.0,0.5307,1.0,0.2721,1.0
TelcoCustomerChurn,consistent_repr,0.95,XGBoost,0.7764,0.6188,0.781,71.25,C,1.0,1.0,1.0,0.0501,1.0,0.5307,1.0,0.2721,1.0
TelcoCustomerChurn,feature_accuracy,0.1,LogisticRegression,0.8041,0.7392,0.8315,79.78,B,1.0,1.0,1.0,1.0,0.9999,0.5307,1.0,0.2687,0.9096
TelcoCustomerChurn,feature_accuracy,0.1,MLP,0.7104,0.6306,0.7297,79.78,B,1.0,1.0,1.0,1.0,0.9999,0.5307,1.0,0.2687,0.9096
TelcoCustomerChurn,feature_accuracy,0.1,RandomForest,0.7942,0.7189,0.8138,79.78,B,1.0,1.0,1.0,1.0,0.9999,0.5307,1.0,0.2687,0.9096
TelcoCustomerChurn,feature_accuracy,0.1,SVC,0.7317,0.7026,0.831,79.78,B,1.0,1.0,1.0,1.0,0.9999,0.5307,1.0,0.2687,0.9096
TelcoCustomerChurn,feature_accuracy,0.1,XGBoost,0.7757,0.7042,0.8077,79.78,B,1.0,1.0,1.0,1.0,0.9999,0.5307,1.0,0.2687,0.9096
TelcoCustomerChurn,feature_accuracy,0.25,LogisticRegression,0.7963,0.7345,0.8303,74.78,C,1.0,1.0,1.0,1.0,0.9992,0.5307,1.0,0.1884,0.5707
TelcoCustomerChurn,feature_accuracy,0.25,MLP,0.7509,0.6741,0.7495,74.78,C,1.0,1.0,1.0,1.0,0.9992,0.5307,1.0,0.1884,0.5707
TelcoCustomerChurn,feature_accuracy,0.25,RandomForest,0.7842,0.7066,0.8187,74.78,C,1.0,1.0,1.0,1.0,0.9992,0.5307,1.0,0.1884,0.5707
TelcoCustomerChurn,feature_accuracy,0.25,SVC,0.7097,0.6854,0.8305,74.78,C,1.0,1.0,1.0,1.0,0.9992,0.5307,1.0,0.1884,0.5707
TelcoCustomerChurn,feature_accuracy,0.25,XGBoost,0.7679,0.6991,0.8059,74.78,C,1.0,1.0,1.0,1.0,0.9992,0.5307,1.0,0.1884,0.5707
TelcoCustomerChurn,feature_accuracy,0.5,LogisticRegression,0.7899,0.7254,0.822,70.4,C,1.0,1.0,1.0,1.0,0.9945,0.5307,1.0,0.1536,0.2045
TelcoCustomerChurn,feature_accuracy,0.5,MLP,0.7126,0.6125,0.7229,70.4,C,1.0,1.0,1.0,1.0,0.9945,0.5307,1.0,0.1536,0.2045
TelcoCustomerChurn,feature_accuracy,0.5,RandomForest,0.7871,0.694,0.7952,70.4,C,1.0,1.0,1.0,1.0,0.9945,0.5307,1.0,0.1536,0.2045
TelcoCustomerChurn,feature_accuracy,0.5,SVC,0.6842,0.6637,0.8205,70.4,C,1.0,1.0,1.0,1.0,0.9945,0.5307,1.0,0.1536,0.2045
TelcoCustomerChurn,feature_accuracy,0.5,XGBoost,0.7722,0.7009,0.7828,70.4,C,1.0,1.0,1.0,1.0,0.9945,0.5307,1.0,0.1536,0.2045
TelcoCustomerChurn,feature_accuracy,0.75,LogisticRegression,0.7083,0.4216,0.4217,68.55,C,1.0,1.0,1.0,1.0,0.9718,0.5307,1.0,0.0921,0.1543
TelcoCustomerChurn,feature_accuracy,0.75,MLP,0.6331,0.5053,0.5302,68.55,C,1.0,1.0,1.0,1.0,0.9718,0.5307,1.0,0.0921,0.1543
TelcoCustomerChurn,feature_accuracy,0.75,RandomForest,0.7161,0.4314,0.4705,68.55,C,1.0,1.0,1.0,1.0,0.9718,0.5307,1.0,0.0921,0.1543
TelcoCustomerChurn,feature_accuracy,0.75,SVC,0.5323,0.4018,0.4203,68.55,C,1.0,1.0,1.0,1.0,0.9718,0.5307,1.0,0.0921,0.1543
TelcoCustomerChurn,feature_accuracy,0.75,XGBoost,0.6402,0.4373,0.4599,68.55,C,1.0,1.0,1.0,1.0,0.9718,0.5307,1.0,0.0921,0.1543
TelcoCustomerChurn,feature_accuracy,0.9,LogisticRegression,0.6494,0.4032,0.2694,69.07,C,1.0,1.0,1.0,1.0,0.9515,0.5307,1.0,0.068,0.2643
TelcoCustomerChurn,feature_accuracy,0.9,MLP,0.6026,0.4085,0.403,69.07,C,1.0,1.0,1.0,1.0,0.9515,0.5307,1.0,0.068,0.2643
TelcoCustomerChurn,feature_accuracy,0.9,RandomForest,0.7055,0.4228,0.2724,69.07,C,1.0,1.0,1.0,1.0,0.9515,0.5307,1.0,0.068,0.2643
TelcoCustomerChurn,feature_accuracy,0.9,SVC,0.4904,0.3636,0.2552,69.07,C,1.0,1.0,1.0,1.0,0.9515,0.5307,1.0,0.068,0.2643
TelcoCustomerChurn,feature_accuracy,0.9,XGBoost,0.5933,0.385,0.2355,69.07,C,1.0,1.0,1.0,1.0,0.9515,0.5307,1.0,0.068,0.2643
TelcoCustomerChurn,feature_accuracy,0.95,LogisticRegression,0.6444,0.4012,0.2377,69.29,C,1.0,1.0,1.0,1.0,0.9441,0.5307,1.0,0.0497,0.3268
TelcoCustomerChurn,feature_accuracy,0.95,MLP,0.6558,0.4076,0.3974,69.29,C,1.0,1.0,1.0,1.0,0.9441,0.5307,1.0,0.0497,0.3268
TelcoCustomerChurn,feature_accuracy,0.95,RandomForest,0.6941,0.4142,0.2661,69.29,C,1.0,1.0,1.0,1.0,0.9441,0.5307,1.0,0.0497,0.3268
TelcoCustomerChurn,feature_accuracy,0.95,SVC,0.4883,0.3624,0.2328,69.29,C,1.0,1.0,1.0,1.0,0.9441,0.5307,1.0,0.0497,0.3268
TelcoCustomerChurn,feature_accuracy,0.95,XGBoost,0.6253,0.4036,0.2667,69.29,C,1.0,1.0,1.0,1.0,0.9441,0.5307,1.0,0.0497,0.3268
TelcoCustomerChurn,none,0.0,LogisticRegression,0.8084,0.7389,0.8349,80.75,B,1.0,1.0,1.0,1.0,1.0,0.5307,1.0,0.2721,1.0
TelcoCustomerChurn,none,0.0,MLP,0.7509,0.6792,0.7632,80.75,B,1.0,1.0,1.0,1.0,1.0,0.5307,1.0,0.2721,1.0
TelcoCustomerChurn,none,0.0,RandomForest,0.7835,0.698,0.8055,80.75,B,1.0,1.0,1.0,1.0,1.0,0.5307,1.0,0.2721,1.0
TelcoCustomerChurn,none,0.0,SVC,0.8041,0.7303,0.8241,80.75,B,1.0,1.0,1.0,1.0,1.0,0.5307,1.0,0.2721,1.0
TelcoCustomerChurn,none,0.0,XGBoost,0.7835,0.7041,0.8124,80.75,B,1.0,1.0,1.0,1.0,1.0,0.5307,1.0,0.2721,1.0
TelcoCustomerChurn,uniqueness,0.1,LogisticRegression,0.8105,0.7425,0.8341,75.08,B,1.0,0.6666,1.0,1.0,1.0,0.5308,1.0,0.2387,1.0
TelcoCustomerChurn,uniqueness,0.1,MLP,0.7289,0.6656,0.7514,75.08,B,1.0,0.6666,1.0,1.0,1.0,0.5308,1.0,0.2387,1.0
TelcoCustomerChurn,uniqueness,0.1,RandomForest,0.7871,0.7051,0.8014,75.08,B,1.0,0.6666,1.0,1.0,1.0,0.5308,1.0,0.2387,1.0
TelcoCustomerChurn,uniqueness,0.1,SVC,0.7033,0.6807,0.7689,75.08,B,1.0,0.6666,1.0,1.0,1.0,0.5308,1.0,0.2387,1.0
TelcoCustomerChurn,uniqueness,0.1,XGBoost,0.7906,0.7183,0.8121,75.08,B,1.0,0.6666,1.0,1.0,1.0,0.5308,1.0,0.2387,1.0
TelcoCustomerChurn,uniqueness,0.25,LogisticRegression,0.8091,0.7406,0.8352,73.16,C,1.0,0.5,1.0,1.0,1.0,0.5307,1.0,0.2677,1.0
TelcoCustomerChurn,uniqueness,0.25,MLP,0.736,0.6549,0.7496,73.16,C,1.0,0.5,1.0,1.0,1.0,0.5307,1.0,0.2677,1.0
TelcoCustomerChurn,uniqueness,0.25,RandomForest,0.7757,0.6906,0.7928,73.16,C,1.0,0.5,1.0,1.0,1.0,0.5307,1.0,0.2677,1.0
TelcoCustomerChurn,uniqueness,0.25,SVC,0.7033,0.6807,0.825,73.16,C,1.0,0.5,1.0,1.0,1.0,0.5307,1.0,0.2677,1.0
TelcoCustomerChurn,uniqueness,0.25,XGBoost,0.7736,0.6954,0.8043,73.16,C,1.0,0.5,1.0,1.0,1.0,0.5307,1.0,0.2677,1.0
TelcoCustomerChurn,uniqueness,0.5,LogisticRegression,0.8105,0.7425,0.8346,71.37,C,1.0,0.3333,1.0,1.0,1.0,0.5307,1.0,0.3031,1.0
TelcoCustomerChurn,uniqueness,0.5,MLP,0.7232,0.6457,0.7413,71.37,C,1.0,0.3333,1.0,1.0,1.0,0.5307,1.0,0.3031,1.0
TelcoCustomerChurn,uniqueness,0.5,RandomForest,0.7771,0.6932,0.7891,71.37,C,1.0,0.3333,1.0,1.0,1.0,0.5307,1.0,0.3031,1.0
TelcoCustomerChurn,uniqueness,0.5,SVC,0.7033,0.6807,0.8188,71.37,C,1.0,0.3333,1.0,1.0,1.0,0.5307,1.0,0.3031,1.0
TelcoCustomerChurn,uniqueness,0.5,XGBoost,0.7779,0.7028,0.8089,71.37,C,1.0,0.3333,1.0,1.0,1.0,0.5307,1.0,0.3031,1.0
TelcoCustomerChurn,uniqueness,0.75,LogisticRegression,0.8084,0.7404,0.8355,69.53,C,1.0,0.25,1.0,1.0,1.0,0.5307,1.0,0.2738,1.0
TelcoCustomerChurn,uniqueness,0.75,MLP,0.7339,0.6555,0.734,69.53,C,1.0,0.25,1.0,1.0,1.0,0.5307,1.0,0.2738,1.0
TelcoCustomerChurn,uniqueness,0.75,RandomForest,0.775,0.6955,0.7909,69.53,C,1.0,0.25,1.0,1.0,1.0,0.5307,1.0,0.2738,1.0
TelcoCustomerChurn,uniqueness,0.75,SVC,0.7033,0.6807,0.828,69.53,C,1.0,0.25,1.0,1.0,1.0,0.5307,1.0,0.2738,1.0
TelcoCustomerChurn,uniqueness,0.75,XGBoost,0.7821,0.7068,0.8056,69.53,C,1.0,0.25,1.0,1.0,1.0,0.5307,1.0,0.2738,1.0
TelcoCustomerChurn,uniqueness,0.9,LogisticRegression,0.8098,0.7418,0.836,69.2,C,1.0,0.2,1.0,1.0,1.0,0.5307,1.0,0.2946,1.0
TelcoCustomerChurn,uniqueness,0.9,MLP,0.7594,0.6835,0.7714,69.2,C,1.0,0.2,1.0,1.0,1.0,0.5307,1.0,0.2946,1.0
TelcoCustomerChurn,uniqueness,0.9,RandomForest,0.7764,0.695,0.7951,69.2,C,1.0,0.2,1.0,1.0,1.0,0.5307,1.0,0.2946,1.0
TelcoCustomerChurn,uniqueness,0.9,SVC,0.7033,0.6807,0.8346,69.2,C,1.0,0.2,1.0,1.0,1.0,0.5307,1.0,0.2946,1.0
TelcoCustomerChurn,uniqueness,0.9,XGBoost,0.7913,0.7184,0.8108,69.2,C,1.0,0.2,1.0,1.0,1.0,0.5307,1.0,0.2946,1.0
TelcoCustomerChurn,uniqueness,0.95,LogisticRegression,0.8091,0.7411,0.8364,67.72,C,1.0,0.1667,1.0,1.0,1.0,0.5307,1.0,0.2458,1.0
TelcoCustomerChurn,uniqueness,0.95,MLP,0.7473,0.6715,0.7568,67.72,C,1.0,0.1667,1.0,1.0,1.0,0.5307,1.0,0.2458,1.0
TelcoCustomerChurn,uniqueness,0.95,RandomForest,0.7771,0.6926,0.7927,67.72,C,1.0,0.1667,1.0,1.0,1.0,0.5307,1.0,0.2458,1.0
TelcoCustomerChurn,uniqueness,0.95,SVC,0.7033,0.6807,0.8286,67.72,C,1.0,0.1667,1.0,1.0,1.0,0.5307,1.0,0.2458,1.0
TelcoCustomerChurn,uniqueness,0.95,XGBoost,0.7814,0.705,0.8133,67.72,C,1.0,0.1667,1.0,1.0,1.0,0.5307,1.0,0.2458,1.0
letter,class_balance,0.1,LogisticRegression,0.7678,0.7666,0.9773,92.2,A,1.0,0.9622,1.0,1.0,0.9549,0.9183,1.0,0.6903,1.0
letter,class_balance,0.1,MLP,0.938,0.9378,0.9989,92.2,A,1.0,0.9622,1.0,1.0,0.9549,0.9183,1.0,0.6903,1.0
letter,class_balance,0.1,RandomForest,0.9327,0.9324,0.9984,92.2,A,1.0,0.9622,1.0,1.0,0.9549,0.9183,1.0,0.6903,1.0
letter,class_balance,0.1,SVC,0.837,0.8368,0.992,92.2,A,1.0,0.9622,1.0,1.0,0.9549,0.9183,1.0,0.6903,1.0
letter,class_balance,0.1,XGBoost,0.932,0.9319,0.9987,92.2,A,1.0,0.9622,1.0,1.0,0.9549,0.9183,1.0,0.6903,1.0
letter,class_balance,0.25,LogisticRegression,0.7675,0.7653,0.9772,90.53,A,1.0,0.9613,1.0,1.0,0.9545,0.7549,1.0,0.6893,1.0
letter,class_balance,0.25,MLP,0.941,0.9405,0.9989,90.53,A,1.0,0.9613,1.0,1.0,0.9545,0.7549,1.0,0.6893,1.0
letter,class_balance,0.25,RandomForest,0.9303,0.93,0.9984,90.53,A,1.0,0.9613,1.0,1.0,0.9545,0.7549,1.0,0.6893,1.0
letter,class_balance,0.25,SVC,0.8407,0.8406,0.9922,90.53,A,1.0,0.9613,1.0,1.0,0.9545,0.7549,1.0,0.6893,1.0
letter,class_balance,0.25,XGBoost,0.9267,0.9264,0.9985,90.53,A,1.0,0.9613,1.0,1.0,0.9545,0.7549,1.0,0.6893,1.0
