dataset,polluter,level,model,accuracy,f1_macro,auc_roc
TelcoCustomerChurn,feature_accuracy,0.1,SVC,0.8006,0.7301,0.8238
TelcoCustomerChurn,feature_accuracy,0.1,MLP,0.7104,0.6306,0.7297
TelcoCustomerChurn,feature_accuracy,0.25,LogisticRegression,0.7963,0.7345,0.8303
TelcoCustomerChurn,feature_accuracy,0.25,RandomForest,0.7842,0.7066,0.8187
TelcoCustomerChurn,feature_accuracy,0.25,XGBoost,0.7679,0.6991,0.8059
TelcoCustomerChurn,feature_accuracy,0.25,SVC,0.7991,0.7313,0.8261
TelcoCustomerChurn,feature_accuracy,0.25,MLP,0.7509,0.6741,0.7495
TelcoCustomerChurn,feature_accuracy,0.5,LogisticRegression,0.7899,0.7254,0.822
TelcoCustomerChurn,feature_accuracy,0.5,RandomForest,0.7871,0.694,0.7952
TelcoCustomerChurn,feature_accuracy,0.5,XGBoost,0.7722,0.7009,0.7828
TelcoCustomerChurn,feature_accuracy,0.5,SVC,0.7346,0.4235,0.8207
TelcoCustomerChurn,feature_accuracy,0.5,MLP,0.7126,0.6125,0.7229
TelcoCustomerChurn,feature_accuracy,0.75,LogisticRegression,0.7083,0.4216,0.4217
TelcoCustomerChurn,feature_accuracy,0.75,RandomForest,0.7161,0.4314,0.4705
TelcoCustomerChurn,feature_accuracy,0.75,XGBoost,0.6402,0.4373,0.4599
TelcoCustomerChurn,feature_accuracy,0.75,SVC,0.7346,0.4235,0.3924
TelcoCustomerChurn,feature_accuracy,0.75,MLP,0.6331,0.5053,0.5302
TelcoCustomerChurn,uniqueness,0.1,LogisticRegression,0.8105,0.7425,0.8341
TelcoCustomerChurn,uniqueness,0.1,RandomForest,0.7871,0.7051,0.8014
TelcoCustomerChurn,uniqueness,0.1,XGBoost,0.7906,0.7183,0.8121
TelcoCustomerChurn,uniqueness,0.1,SVC,0.807,0.7348,0.8243
TelcoCustomerChurn,uniqueness,0.1,MLP,0.7289,0.6656,0.7514
TelcoCustomerChurn,uniqueness,0.25,LogisticRegression,0.8091,0.7406,0.8352
TelcoCustomerChurn,uniqueness,0.25,RandomForest,0.7757,0.6906,0.7928
TelcoCustomerChurn,uniqueness,0.25,XGBoost,0.7736,0.6954,0.8043
TelcoCustomerChurn,uniqueness,0.25,SVC,0.8013,0.727,0.8234
TelcoCustomerChurn,uniqueness,0.25,MLP,0.736,0.6549,0.7496
TelcoCustomerChurn,uniqueness,0.5,LogisticRegression,0.8105,0.7425,0.8346
TelcoCustomerChurn,uniqueness,0.5,RandomForest,0.7771,0.6932,0.7891
TelcoCustomerChurn,uniqueness,0.5,XGBoost,0.7779,0.7028,0.8089
TelcoCustomerChurn,uniqueness,0.5,SVC,0.8041,0.7298,0.824
TelcoCustomerChurn,uniqueness,0.5,MLP,0.7232,0.6457,0.7413
TelcoCustomerChurn,uniqueness,0.75,LogisticRegression,0.8084,0.7404,0.8355
TelcoCustomerChurn,uniqueness,0.75,RandomForest,0.775,0.6955,0.7909
TelcoCustomerChurn,uniqueness,0.75,XGBoost,0.7821,0.7068,0.8056
TelcoCustomerChurn,uniqueness,0.75,SVC,0.8048,0.7332,0.8253
TelcoCustomerChurn,uniqueness,0.75,MLP,0.7339,0.6555,0.734
SouthGermanCredit,class_balance,0.1,LogisticRegression,0.74,0.6961,0.7813
SouthGermanCredit,class_balance,0.1,RandomForest,0.735,0.6992,0.7781
SouthGermanCredit,class_balance,0.1,XGBoost,0.675,0.6339,0.7482
SouthGermanCredit,class_balance,0.1,SVC,0.73,0.6844,0.7618
SouthGermanCredit,class_balance,0.1,MLP,0.74,0.6988,0.7398
SouthGermanCredit,class_balance,0.25,LogisticRegression,0.745,0.6919,0.7707
SouthGermanCredit,class_balance,0.25,RandomForest,0.74,0.6702,0.7851
SouthGermanCredit,class_balance,0.25,XGBoost,0.765,0.7132,0.7882
SouthGermanCredit,class_balance,0.25,SVC,0.74,0.6905,0.7539
SouthGermanCredit,class_balance,0.25,MLP,0.74,0.6934,0.7355
SouthGermanCredit,class_balance,0.5,LogisticRegression,0.755,0.6568,0.7574
SouthGermanCredit,class_balance,0.5,RandomForest,0.745,0.5534,0.774
SouthGermanCredit,class_balance,0.5,XGBoost,0.785,0.6893,0.8023
SouthGermanCredit,class_balance,0.5,SVC,0.725,0.6147,0.7343
SouthGermanCredit,class_balance,0.5,MLP,0.74,0.633,0.7307
SouthGermanCredit,class_balance,0.75,LogisticRegression,0.73,0.5614,0.7874
SouthGermanCredit,class_balance,0.75,RandomForest,0.71,0.4465,0.7678
SouthGermanCredit,class_balance,0.75,XGBoost,0.735,0.5462,0.7413
SouthGermanCredit,class_balance,0.75,SVC,0.725,0.5184,0.7764
SouthGermanCredit,class_balance,0.75,MLP,0.755,0.5979,0.7565
SouthGermanCredit,completeness,0.1,LogisticRegression,0.77,0.7116,0.8012
SouthGermanCredit,completeness,0.1,RandomForest,0.775,0.6894,0.8084
SouthGermanCredit,completeness,0.1,XGBoost,0.75,0.6829,0.7319
SouthGermanCredit,completeness,0.1,SVC,0.74,0.6843,0.7918
SouthGermanCredit,completeness,0.1,MLP,0.73,0.6534,0.7656
SouthGermanCredit,completeness,0.25,LogisticRegression,0.735,0.683,0.788
SouthGermanCredit,completeness,0.25,RandomForest,0.77,0.6891,0.7842
SouthGermanCredit,completeness,0.25,XGBoost,0.79,0.745,0.7894
SouthGermanCredit,completeness,0.25,SVC,0.725,0.671,0.7815
SouthGermanCredit,completeness,0.25,MLP,0.685,0.6366,0.7233
SouthGermanCredit,completeness,0.5,LogisticRegression,0.76,0.692,0.7795
SouthGermanCredit,completeness,0.5,RandomForest,0.785,0.6942,0.7867
SouthGermanCredit,completeness,0.5,XGBoost,0.74,0.6533,0.7502
SouthGermanCredit,completeness,0.5,SVC,0.735,0.6342,0.7623
SouthGermanCredit,completeness,0.5,MLP,0.7,0.5828,0.7327
SouthGermanCredit,completeness,0.75,LogisticRegression,0.7,0.6658,0.7702
SouthGermanCredit,completeness,0.75,RandomForest,0.705,0.5057,0.7381
SouthGermanCredit,completeness,0.75,XGBoost,0.665,0.6135,0.6846
SouthGermanCredit,completeness,0.75,SVC,0.715,0.6739,0.7404
SouthGermanCredit,completeness,0.75,MLP,0.7,0.4274,0.6604
SouthGermanCredit,consistent_repr,0.1,LogisticRegression,0.74,0.674,0.7799
SouthGermanCredit,consistent_repr,0.1,RandomForest,0.755,0.6459,0.7919
SouthGermanCredit,consistent_repr,0.1,XGBoost,0.785,0.7289,0.7825
SouthGermanCredit,consistent_repr,0.1,SVC,0.745,0.682,0.7736
SouthGermanCredit,consistent_repr,0.1,MLP,0.78,0.7272,0.7649
SouthGermanCredit,consistent_repr,0.25,LogisticRegression,0.735,0.686,0.7955
SouthGermanCredit,consistent_repr,0.25,RandomForest,0.795,0.721,0.8053
SouthGermanCredit,consistent_repr,0.25,XGBoost,0.78,0.721,0.811
SouthGermanCredit,consistent_repr,0.25,SVC,0.725,0.6827,0.7876
SouthGermanCredit,consistent_repr,0.25,MLP,0.76,0.7169,0.7798
SouthGermanCredit,consistent_repr,0.5,LogisticRegression,0.72,0.6667,0.7529
SouthGermanCredit,consistent_repr,0.5,RandomForest,0.735,0.617,0.7687
SouthGermanCredit,consistent_repr,0.5,XGBoost,0.685,0.6572,0.7414
SouthGermanCredit,consistent_repr,0.5,SVC,0.735,0.6696,0.7589
SouthGermanCredit,consistent_repr,0.5,MLP,0.69,0.657,0.7267
SouthGermanCredit,consistent_repr,0.75,LogisticRegression,0.72,0.6667,0.7501
SouthGermanCredit,consistent_repr,0.75,RandomForest,0.725,0.5291,0.7051
SouthGermanCredit,consistent_repr,0.75,XGBoost,0.675,0.5803,0.6735
SouthGermanCredit,consistent_repr,0.75,SVC,0.67,0.6269,0.723
SouthGermanCredit,consistent_repr,0.75,MLP,0.71,0.6278,0.729
SouthGermanCredit,feature_accuracy,0.1,LogisticRegression,0.765,0.6802,0.7985
SouthGermanCredit,feature_accuracy,0.1,RandomForest,0.755,0.6135,0.7969
SouthGermanCredit,feature_accuracy,0.1,XGBoost,0.765,0.6887,0.7565
SouthGermanCredit,feature_accuracy,0.1,SVC,0.765,0.6887,0.7938
SouthGermanCredit,feature_accuracy,0.1,MLP,0.76,0.7086,0.7554
SouthGermanCredit,feature_accuracy,0.25,LogisticRegression,0.73,0.6245,0.7852
