dataset,polluter,level,score,grade,completeness_image,uniqueness,validity,consistency,outlier_ratio,class_balance,sample_quality_image,feature_correlation,label_consistency,feature_informativeness
CIFAR10,label_swap,0.5,80.84,B,0.9966,1.0,1.0,1.0,0.987,0.936,0.9357,1.0,0.1282,1.0
CIFAR10,completeness_image,0.7,84.15,B,0.7995,1.0,1.0,1.0,0.9844,0.948,0.9729,1.0,0.4082,1.0
CIFAR10,noise_injection,0.7,82.91,B,0.9962,1.0,1.0,1.0,0.9898,0.948,0.95,1.0,0.2144,1.0
CIFAR10,blur,0.7,73.32,C,0.9996,1.0,1.0,1.0,0.9872,0.948,0.3157,1.0,0.2086,1.0
CIFAR10,class_balance,0.7,88.42,B,0.9964,1.0,1.0,1.0,0.9861,0.7602,0.9262,1.0,0.6025,1.0
CIFAR10,label_swap,0.7,78.86,B,0.9966,1.0,1.0,1.0,0.987,0.926,0.9357,1.0,0.034,1.0
CIFAR10,completeness_image,0.9,82.65,B,0.7432,1.0,1.0,1.0,0.9838,0.948,0.9849,1.0,0.3666,1.0
CIFAR10,noise_injection,0.9,82.12,B,0.9949,1.0,1.0,1.0,0.9898,0.948,0.9568,1.0,0.1708,1.0
CIFAR10,blur,0.9,72.53,C,0.9998,1.0,1.0,1.0,0.9874,0.948,0.2778,1.0,0.1973,1.0
CIFAR10,class_balance,0.9,84.63,B,0.9973,1.0,1.0,1.0,0.9835,0.4835,0.9089,1.0,0.5641,1.0
CIFAR10,label_swap,0.9,76.85,B,0.9966,1.0,1.0,1.0,0.987,0.958,0.9357,1.0,0.0,0.8346
FashionMNIST,none,0.0,86.69,B,0.4836,0.999,1.0,1.0,0.9996,0.93,0.994,1.0,0.7617,1.0
FashionMNIST,completeness_image,0.1,85.66,B,0.4635,0.9988,1.0,1.0,0.9996,0.93,0.9927,1.0,0.7264,1.0
FashionMNIST,noise_injection,0.1,88.64,B,0.6567,1.0,1.0,1.0,0.9996,0.93,0.9935,1.0,0.7296,1.0
FashionMNIST,blur,0.1,87.83,B,0.5726,0.9978,1.0,1.0,0.9996,0.93,0.9892,1.0,0.7561,1.0
FashionMNIST,class_balance,0.1,86.43,B,0.4819,0.9989,1.0,1.0,0.9996,0.9189,0.9939,1.0,0.7559,1.0
FashionMNIST,label_swap,0.1,83.6,B,0.4836,0.999,1.0,1.0,0.9996,0.938,0.994,1.0,0.6032,1.0
FashionMNIST,completeness_image,0.3,84.22,B,0.4243,0.9994,1.0,1.0,0.998,0.93,0.9898,1.0,0.686,1.0
FashionMNIST,noise_injection,0.3,87.9,B,0.7032,1.0,1.0,1.0,0.9998,0.93,0.9934,1.0,0.6575,1.0
FashionMNIST,blur,0.3,87.17,B,0.7292,0.9988,1.0,1.0,0.9996,0.93,0.7976,1.0,0.7489,1.0
FashionMNIST,class_balance,0.3,85.89,B,0.4767,0.9989,1.0,1.0,0.9997,0.8889,0.994,1.0,0.7476,1.0
FashionMNIST,label_swap,0.3,77.79,B,0.4836,0.999,1.0,1.0,0.9996,0.886,0.994,1.0,0.339,1.0
FashionMNIST,completeness_image,0.5,83.02,B,0.3846,0.9992,1.0,1.0,0.9928,0.93,0.9873,1.0,0.659,1.0
FashionMNIST,noise_injection,0.5,86.34,B,0.7083,1.0,1.0,1.0,1.0,0.93,0.994,1.0,0.5751,1.0
FashionMNIST,blur,0.5,84.29,B,0.8534,0.9998,1.0,1.0,0.9996,0.93,0.5181,1.0,0.7211,1.0
FashionMNIST,class_balance,0.5,85.31,B,0.4685,0.9986,1.0,1.0,1.0,0.8391,0.994,1.0,0.7497,1.0
FashionMNIST,label_swap,0.5,73.91,C,0.4836,0.999,1.0,1.0,0.9996,0.88,0.994,1.0,0.1478,1.0
FashionMNIST,completeness_image,0.7,81.76,B,0.3458,0.9986,1.0,1.0,0.9812,0.93,0.9851,1.0,0.6304,1.0
FashionMNIST,noise_injection,0.7,84.49,B,0.7061,1.0,1.0,1.0,1.0,0.93,0.9951,1.0,0.4837,1.0
FashionMNIST,blur,0.7,84.2,B,0.9398,0.9998,1.0,1.0,0.9996,0.93,0.4471,1.0,0.7051,1.0
FashionMNIST,class_balance,0.7,84.06,B,0.4512,0.9979,1.0,1.0,0.9989,0.7433,0.9946,1.0,0.7481,1.0
FashionMNIST,label_swap,0.7,71.75,C,0.4836,0.999,1.0,1.0,0.9996,0.89,0.994,1.0,0.0349,1.0
FashionMNIST,completeness_image,0.9,80.95,B,0.3062,0.9986,1.0,1.0,0.9838,0.93,0.9819,1.0,0.6212,1.0
FashionMNIST,noise_injection,0.9,82.75,B,0.6995,1.0,1.0,1.0,1.0,0.93,0.9964,1.0,0.4008,1.0
FashionMNIST,blur,0.9,83.22,B,0.9793,1.0,1.0,1.0,0.9996,0.93,0.3837,1.0,0.6739,1.0
FashionMNIST,class_balance,0.9,80.26,B,0.4044,0.9959,1.0,1.0,0.9683,0.4708,0.9945,1.0,0.7383,1.0
FashionMNIST,label_swap,0.9,69.69,C,0.4836,0.999,1.0,1.0,0.9996,0.888,0.994,1.0,0.0002,0.8651
