dataset,polluter,level,method,model,score,task
amazon_en,word_shuffle,0.25,probe,random_forest,0.3886,regression
amazon_en,word_shuffle,0.25,probe,mlp,0.1935,regression
amazon_en,word_shuffle,0.25,probe,knn,0.3554,regression
amazon_en,word_shuffle,0.5,probe,ridge,0.0,regression
amazon_en,word_shuffle,0.5,probe,random_forest,0.3844,regression
amazon_en,word_shuffle,0.5,probe,mlp,0.0,regression
amazon_en,word_shuffle,0.5,probe,knn,0.3748,regression
amazon_en,word_shuffle,0.75,probe,ridge,0.0,regression
amazon_en,word_shuffle,0.75,probe,random_forest,0.3945,regression
amazon_en,word_shuffle,0.75,probe,mlp,0.0964,regression
amazon_en,word_shuffle,0.75,probe,knn,0.3914,regression
amazon_en,word_shuffle,0.9,probe,ridge,0.0,regression
amazon_en,word_shuffle,0.9,probe,random_forest,0.3745,regression
amazon_en,word_shuffle,0.9,probe,mlp,0.2283,regression
amazon_en,word_shuffle,0.9,probe,knn,0.3506,regression
amazon_en,target_distribution_skew,0.1,probe,ridge,0.0,regression
amazon_en,target_distribution_skew,0.1,probe,random_forest,0.4166,regression
amazon_en,target_distribution_skew,0.1,probe,mlp,0.3187,regression
amazon_en,target_distribution_skew,0.1,probe,knn,0.37,regression
amazon_en,target_distribution_skew,0.25,probe,ridge,0.0,regression
amazon_en,target_distribution_skew,0.25,probe,random_forest,0.3885,regression
amazon_en,target_distribution_skew,0.25,probe,mlp,0.3003,regression
amazon_en,target_distribution_skew,0.25,probe,knn,0.31,regression
amazon_en,target_distribution_skew,0.5,probe,ridge,0.0,regression
amazon_en,target_distribution_skew,0.5,probe,random_forest,0.3282,regression
amazon_en,target_distribution_skew,0.5,probe,mlp,0.2344,regression
amazon_en,target_distribution_skew,0.5,probe,knn,0.2018,regression
amazon_en,target_distribution_skew,0.75,probe,ridge,0.0,regression
amazon_en,target_distribution_skew,0.75,probe,random_forest,0.2016,regression
amazon_en,target_distribution_skew,0.75,probe,mlp,0.116,regression
amazon_en,target_distribution_skew,0.75,probe,knn,0.0073,regression
amazon_en,target_distribution_skew,0.9,probe,ridge,0.0,regression
amazon_en,target_distribution_skew,0.9,probe,random_forest,0.0,regression
amazon_en,target_distribution_skew,0.9,probe,mlp,0.0,regression
amazon_en,target_distribution_skew,0.9,probe,knn,0.0,regression
amazon_en,target_noise,0.1,probe,ridge,0.0,regression
amazon_en,target_noise,0.1,probe,random_forest,0.4631,regression
amazon_en,target_noise,0.1,probe,mlp,0.3227,regression
amazon_en,target_noise,0.1,probe,knn,0.3682,regression
amazon_en,target_noise,0.25,probe,ridge,0.0,regression
amazon_en,target_noise,0.25,probe,random_forest,0.4514,regression
amazon_en,target_noise,0.25,probe,mlp,0.3007,regression
amazon_en,target_noise,0.25,probe,knn,0.3513,regression
amazon_en,target_noise,0.5,probe,ridge,0.0,regression
amazon_en,target_noise,0.5,probe,random_forest,0.4571,regression
amazon_en,target_noise,0.5,probe,mlp,0.2008,regression
amazon_en,target_noise,0.5,probe,knn,0.3071,regression
amazon_en,target_noise,0.75,probe,ridge,0.0,regression
amazon_en,target_noise,0.75,probe,random_forest,0.4197,regression
amazon_en,target_noise,0.75,probe,mlp,0.0366,regression
amazon_en,target_noise,0.75,probe,knn,0.2432,regression
amazon_en,target_noise,0.9,probe,ridge,0.0,regression
amazon_en,target_noise,0.9,probe,random_forest,0.413,regression
amazon_en,target_noise,0.9,probe,mlp,0.0,regression
amazon_en,target_noise,0.9,probe,knn,0.1953,regression
sst5,none,0.0,probe,ridge,0.0,regression
sst5,none,0.0,probe,random_forest,0.3614,regression
sst5,none,0.0,probe,mlp,0.0912,regression
sst5,none,0.0,probe,knn,0.2972,regression
sst5,completeness_text,0.1,probe,ridge,0.0,regression
sst5,completeness_text,0.1,probe,random_forest,0.3256,regression
sst5,completeness_text,0.1,probe,mlp,0.0,regression
sst5,completeness_text,0.1,probe,knn,0.2823,regression
sst5,completeness_text,0.25,probe,ridge,0.0,regression
sst5,completeness_text,0.25,probe,random_forest,0.2394,regression
sst5,completeness_text,0.25,probe,mlp,0.0,regression
sst5,completeness_text,0.25,probe,knn,0.2544,regression
sst5,completeness_text,0.5,probe,ridge,0.0,regression
sst5,completeness_text,0.5,probe,random_forest,0.1375,regression
sst5,completeness_text,0.5,probe,mlp,0.0,regression
sst5,completeness_text,0.5,probe,knn,0.2299,regression
sst5,completeness_text,0.75,probe,ridge,0.0,regression
sst5,completeness_text,0.75,probe,random_forest,0.0909,regression
sst5,completeness_text,0.75,probe,mlp,0.0,regression
sst5,completeness_text,0.75,probe,knn,0.1396,regression
sst5,completeness_text,0.9,probe,ridge,0.0,regression
sst5,completeness_text,0.9,probe,random_forest,0.0059,regression
sst5,completeness_text,0.9,probe,mlp,0.0,regression
sst5,completeness_text,0.9,probe,knn,0.0,regression
sst5,noise_injection_text,0.1,probe,ridge,0.0,regression
sst5,noise_injection_text,0.1,probe,random_forest,0.2159,regression
sst5,noise_injection_text,0.1,probe,mlp,0.0,regression
sst5,noise_injection_text,0.1,probe,knn,0.2491,regression
sst5,noise_injection_text,0.25,probe,ridge,0.0,regression
sst5,noise_injection_text,0.25,probe,random_forest,0.0627,regression
sst5,noise_injection_text,0.25,probe,mlp,0.0,regression
sst5,noise_injection_text,0.25,probe,knn,0.1018,regression
sst5,noise_injection_text,0.5,probe,ridge,0.0,regression
sst5,noise_injection_text,0.5,probe,random_forest,0.0304,regression
sst5,noise_injection_text,0.5,probe,mlp,0.0,regression
sst5,noise_injection_text,0.5,probe,knn,0.003,regression
sst5,noise_injection_text,0.75,probe,ridge,0.0,regression
sst5,noise_injection_text,0.75,probe,random_forest,0.0,regression
sst5,noise_injection_text,0.75,probe,mlp,0.0,regression
sst5,noise_injection_text,0.75,probe,knn,0.0,regression
sst5,noise_injection_text,0.9,probe,ridge,0.0,regression
sst5,noise_injection_text,0.9,probe,random_forest,0.0,regression
sst5,noise_injection_text,0.9,probe,mlp,0.0,regression
sst5,noise_injection_text,0.9,probe,knn,0.0,regression
sst5,word_shuffle,0.1,probe,ridge,0.0,regression
sst5,word_shuffle,0.1,probe,random_forest,0.3372,regression
sst5,word_shuffle,0.1,probe,mlp,0.0,regression
sst5,word_shuffle,0.1,probe,knn,0.2788,regression
sst5,word_shuffle,0.25,probe,ridge,0.0,regression
sst5,word_shuffle,0.25,probe,random_forest,0.2672,regression
sst5,word_shuffle,0.25,probe,mlp,0.0,regression
sst5,word_shuffle,0.25,probe,knn,0.2599,regression
sst5,word_shuffle,0.5,probe,ridge,0.0,regression
sst5,word_shuffle,0.5,probe,random_forest,0.2567,regression
sst5,word_shuffle,0.5,probe,mlp,0.0,regression
sst5,word_shuffle,0.5,probe,knn,0.1954,regression
sst5,word_shuffle,0.75,probe,ridge,0.0,regression
sst5,word_shuffle,0.75,probe,random_forest,0.2264,regression
sst5,word_shuffle,0.75,probe,mlp,0.0,regression
sst5,word_shuffle,0.75,probe,knn,0.2444,regression
sst5,word_shuffle,0.9,probe,ridge,0.0,regression
sst5,word_shuffle,0.9,probe,random_forest,0.2804,regression
sst5,word_shuffle,0.9,probe,mlp,0.0,regression
sst5,word_shuffle,0.9,probe,knn,0.2166,regression
sst5,target_distribution_skew,0.1,probe,ridge,0.0,regression
sst5,target_distribution_skew,0.1,probe,random_forest,0.3582,regression
sst5,target_distribution_skew,0.1,probe,mlp,0.1394,regression
sst5,target_distribution_skew,0.1,probe,knn,0.2753,regression
sst5,target_distribution_skew,0.25,probe,ridge,0.0,regression
sst5,target_distribution_skew,0.25,probe,random_forest,0.3478,regression
sst5,target_distribution_skew,0.25,probe,mlp,0.1247,regression
sst5,target_distribution_skew,0.25,probe,knn,0.2692,regression
sst5,target_distribution_skew,0.5,probe,ridge,0.0,regression
sst5,target_distribution_skew,0.5,probe,random_forest,0.3,regression
sst5,target_distribution_skew,0.5,probe,mlp,0.0848,regression
sst5,target_distribution_skew,0.5,probe,knn,0.2142,regression
sst5,target_distribution_skew,0.75,probe,ridge,0.0,regression
sst5,target_distribution_skew,0.75,probe,random_forest,0.1814,regression
sst5,target_distribution_skew,0.75,probe,mlp,0.0474,regression
sst5,target_distribution_skew,0.75,probe,knn,0.0343,regression
sst5,target_distribution_skew,0.9,probe,ridge,0.0,regression
sst5,target_distribution_skew,0.9,probe,random_forest,0.0584,regression
sst5,target_distribution_skew,0.9,probe,mlp,0.0,regression
sst5,target_distribution_skew,0.9,probe,knn,0.0,regression
sst5,target_noise,0.1,probe,ridge,0.0,regression
sst5,target_noise,0.1,probe,random_forest,0.3633,regression
sst5,target_noise,0.1,probe,mlp,0.0858,regression
sst5,target_noise,0.1,probe,knn,0.2896,regression
sst5,target_noise,0.25,probe,ridge,0.0,regression
sst5,target_noise,0.25,probe,random_forest,0.3746,regression
sst5,target_noise,0.25,probe,mlp,0.0464,regression
sst5,target_noise,0.25,probe,knn,0.2707,regression
sst5,target_noise,0.5,probe,ridge,0.0,regression
sst5,target_noise,0.5,probe,random_forest,0.3386,regression
sst5,target_noise,0.5,probe,mlp,0.0,regression
sst5,target_noise,0.5,probe,knn,0.2192,regression
sst5,target_noise,0.75,probe,ridge,0.0,regression
sst5,target_noise,0.75,probe,random_forest,0.3502,regression
sst5,target_noise,0.75,probe,mlp,0.0,regression
sst5,target_noise,0.75,probe,knn,0.1429,regression
sst5,target_noise,0.9,probe,ridge,0.0,regression
sst5,target_noise,0.9,probe,random_forest,0.3193,regression
sst5,target_noise,0.9,probe,mlp,0.0,regression
sst5,target_noise,0.9,probe,knn,0.0852,regression
