dataset,polluter,level,method,model,score,task
imdb,none,0.0,probe,mlp,0.8475,classification
imdb,none,0.0,probe,knn,0.6386,classification
imdb,completeness_text,0.1,probe,logreg,0.7493,classification
imdb,completeness_text,0.1,probe,random_forest,0.731,classification
imdb,completeness_text,0.1,probe,mlp,0.856,classification
imdb,completeness_text,0.1,probe,knn,0.6931,classification
imdb,completeness_text,0.25,probe,logreg,0.7804,classification
imdb,completeness_text,0.25,probe,random_forest,0.696,classification
imdb,completeness_text,0.25,probe,mlp,0.7399,classification
imdb,completeness_text,0.25,probe,knn,0.6056,classification
imdb,completeness_text,0.5,probe,logreg,0.4259,classification
imdb,completeness_text,0.5,probe,random_forest,0.353,classification
imdb,completeness_text,0.5,probe,mlp,0.4339,classification
imdb,completeness_text,0.5,probe,knn,0.5868,classification
imdb,completeness_text,0.75,probe,logreg,0.6132,classification
imdb,completeness_text,0.75,probe,random_forest,0.4399,classification
imdb,completeness_text,0.75,probe,mlp,0.4669,classification
imdb,completeness_text,0.75,probe,knn,0.6061,classification
imdb,completeness_text,0.9,probe,logreg,0.5267,classification
imdb,completeness_text,0.9,probe,random_forest,0.4486,classification
imdb,completeness_text,0.9,probe,mlp,0.3495,classification
imdb,completeness_text,0.9,probe,knn,0.4118,classification
imdb,noise_injection_text,0.1,probe,logreg,0.7493,classification
imdb,noise_injection_text,0.1,probe,random_forest,0.4218,classification
imdb,noise_injection_text,0.1,probe,mlp,0.6449,classification
imdb,noise_injection_text,0.1,probe,knn,0.6182,classification
imdb,noise_injection_text,0.25,probe,logreg,0.582,classification
imdb,noise_injection_text,0.25,probe,random_forest,0.4182,classification
imdb,noise_injection_text,0.25,probe,mlp,0.6484,classification
imdb,noise_injection_text,0.25,probe,knn,0.6055,classification
imdb,noise_injection_text,0.5,probe,logreg,0.3475,classification
imdb,noise_injection_text,0.5,probe,random_forest,0.5209,classification
imdb,noise_injection_text,0.5,probe,mlp,0.59,classification
imdb,noise_injection_text,0.5,probe,knn,0.5115,classification
imdb,noise_injection_text,0.75,probe,logreg,0.5109,classification
imdb,noise_injection_text,0.75,probe,random_forest,0.4335,classification
imdb,noise_injection_text,0.75,probe,mlp,0.3225,classification
imdb,noise_injection_text,0.75,probe,knn,0.4708,classification
imdb,noise_injection_text,0.9,probe,logreg,0.3394,classification
imdb,noise_injection_text,0.9,probe,random_forest,0.4818,classification
imdb,noise_injection_text,0.9,probe,mlp,0.3291,classification
imdb,noise_injection_text,0.9,probe,knn,0.3432,classification
imdb,word_shuffle,0.1,probe,logreg,0.7246,classification
imdb,word_shuffle,0.1,probe,random_forest,0.7412,classification
imdb,word_shuffle,0.1,probe,mlp,0.7897,classification
imdb,word_shuffle,0.1,probe,knn,0.6337,classification
imdb,word_shuffle,0.25,probe,logreg,0.7919,classification
imdb,word_shuffle,0.25,probe,random_forest,0.6315,classification
imdb,word_shuffle,0.25,probe,mlp,0.804,classification
imdb,word_shuffle,0.25,probe,knn,0.5909,classification
imdb,word_shuffle,0.5,probe,logreg,0.7388,classification
imdb,word_shuffle,0.5,probe,random_forest,0.5977,classification
imdb,word_shuffle,0.5,probe,mlp,0.784,classification
imdb,word_shuffle,0.5,probe,knn,0.4817,classification
imdb,word_shuffle,0.75,probe,logreg,0.7658,classification
imdb,word_shuffle,0.75,probe,random_forest,0.6177,classification
imdb,word_shuffle,0.75,probe,mlp,0.7746,classification
imdb,word_shuffle,0.75,probe,knn,0.6196,classification
imdb,word_shuffle,0.9,probe,logreg,0.7999,classification
imdb,word_shuffle,0.9,probe,random_forest,0.6186,classification
imdb,word_shuffle,0.9,probe,mlp,0.7543,classification
imdb,word_shuffle,0.9,probe,knn,0.4969,classification
imdb,class_balance,0.1,probe,logreg,0.7995,classification
imdb,class_balance,0.1,probe,random_forest,0.7616,classification
imdb,class_balance,0.1,probe,mlp,0.8277,classification
imdb,class_balance,0.1,probe,knn,0.6098,classification
imdb,class_balance,0.25,probe,logreg,0.8231,classification
imdb,class_balance,0.25,probe,random_forest,0.7324,classification
imdb,class_balance,0.25,probe,mlp,0.8392,classification
imdb,class_balance,0.25,probe,knn,0.5221,classification
imdb,class_balance,0.5,probe,logreg,0.8091,classification
imdb,class_balance,0.5,probe,random_forest,0.6198,classification
imdb,class_balance,0.5,probe,mlp,0.815,classification
imdb,class_balance,0.5,probe,knn,0.3931,classification
imdb,class_balance,0.75,probe,logreg,0.6875,classification
imdb,class_balance,0.75,probe,random_forest,0.4339,classification
imdb,class_balance,0.75,probe,mlp,0.6809,classification
imdb,class_balance,0.75,probe,knn,0.3404,classification
imdb,class_balance,0.9,probe,logreg,0.526,classification
imdb,class_balance,0.9,probe,random_forest,0.3584,classification
imdb,class_balance,0.9,probe,mlp,0.5082,classification
imdb,class_balance,0.9,probe,knn,0.3404,classification
imdb,label_swap,0.1,probe,logreg,0.704,classification
imdb,label_swap,0.1,probe,random_forest,0.7717,classification
imdb,label_swap,0.1,probe,mlp,0.7839,classification
imdb,label_swap,0.1,probe,knn,0.6108,classification
imdb,label_swap,0.25,probe,logreg,0.6312,classification
imdb,label_swap,0.25,probe,random_forest,0.724,classification
imdb,label_swap,0.25,probe,mlp,0.6715,classification
imdb,label_swap,0.25,probe,knn,0.6115,classification
imdb,label_swap,0.5,probe,logreg,0.484,classification
imdb,label_swap,0.5,probe,random_forest,0.4977,classification
imdb,label_swap,0.5,probe,mlp,0.516,classification
imdb,label_swap,0.5,probe,knn,0.4481,classification
imdb,label_swap,0.75,probe,logreg,0.3826,classification
imdb,label_swap,0.75,probe,random_forest,0.32,classification
imdb,label_swap,0.75,probe,mlp,0.292,classification
imdb,label_swap,0.75,probe,knn,0.3837,classification
imdb,label_swap,0.9,probe,logreg,0.2754,classification
imdb,label_swap,0.9,probe,random_forest,0.2277,classification
imdb,label_swap,0.9,probe,mlp,0.18,classification
imdb,label_swap,0.9,probe,knn,0.2802,classification
20news,none,0.0,probe,logreg,0.5229,classification
20news,none,0.0,probe,random_forest,0.4371,classification
20news,none,0.0,probe,mlp,0.5215,classification
20news,none,0.0,probe,knn,0.4227,classification
20news,completeness_text,0.1,probe,logreg,0.4683,classification
20news,completeness_text,0.1,probe,random_forest,0.4189,classification
20news,completeness_text,0.1,probe,mlp,0.4956,classification
20news,completeness_text,0.1,probe,knn,0.4027,classification
20news,completeness_text,0.25,probe,logreg,0.4186,classification
20news,completeness_text,0.25,probe,random_forest,0.3244,classification
20news,completeness_text,0.25,probe,mlp,0.4602,classification
20news,completeness_text,0.25,probe,knn,0.3783,classification
20news,completeness_text,0.5,probe,logreg,0.2577,classification
20news,completeness_text,0.5,probe,random_forest,0.2102,classification
20news,completeness_text,0.5,probe,mlp,0.2886,classification
20news,completeness_text,0.5,probe,knn,0.3375,classification
20news,completeness_text,0.75,probe,logreg,0.198,classification
20news,completeness_text,0.75,probe,random_forest,0.1467,classification
20news,completeness_text,0.75,probe,mlp,0.1272,classification
20news,completeness_text,0.75,probe,knn,0.1419,classification
20news,completeness_text,0.9,probe,logreg,0.0467,classification
20news,completeness_text,0.9,probe,random_forest,0.0309,classification
20news,completeness_text,0.9,probe,mlp,0.0218,classification
20news,completeness_text,0.9,probe,knn,0.0542,classification
20news,noise_injection_text,0.1,probe,logreg,0.4319,classification
20news,noise_injection_text,0.1,probe,random_forest,0.2192,classification
20news,noise_injection_text,0.1,probe,mlp,0.4263,classification
20news,noise_injection_text,0.1,probe,knn,0.3001,classification
20news,noise_injection_text,0.25,probe,logreg,0.1998,classification
20news,noise_injection_text,0.25,probe,random_forest,0.0342,classification
20news,noise_injection_text,0.25,probe,mlp,0.1801,classification
20news,noise_injection_text,0.25,probe,knn,0.1054,classification
20news,noise_injection_text,0.5,probe,logreg,0.0517,classification
20news,noise_injection_text,0.5,probe,random_forest,0.0328,classification
20news,noise_injection_text,0.5,probe,mlp,0.0519,classification
20news,noise_injection_text,0.5,probe,knn,0.038,classification
20news,noise_injection_text,0.75,probe,logreg,0.0276,classification
20news,noise_injection_text,0.75,probe,random_forest,0.0479,classification
20news,noise_injection_text,0.75,probe,mlp,0.0526,classification
20news,noise_injection_text,0.75,probe,knn,0.0469,classification
20news,noise_injection_text,0.9,probe,logreg,0.0351,classification
20news,noise_injection_text,0.9,probe,random_forest,0.0502,classification
20news,noise_injection_text,0.9,probe,mlp,0.0298,classification
20news,noise_injection_text,0.9,probe,knn,0.0171,classification
20news,word_shuffle,0.1,probe,logreg,0.4915,classification
20news,word_shuffle,0.1,probe,random_forest,0.3729,classification
20news,word_shuffle,0.1,probe,mlp,0.4648,classification
20news,word_shuffle,0.1,probe,knn,0.4135,classification
20news,word_shuffle,0.25,probe,logreg,0.4269,classification
20news,word_shuffle,0.25,probe,random_forest,0.2696,classification
