dataset,polluter,level,score,grade,completeness,uniqueness,validity,consistency,outlier_ratio,class_balance,feature_correlation,label_consistency,feature_informativeness
SouthGermanCredit,completeness,0.75,51.65,D,0.25,0.9938,1.0,1.0,0.7367,0.6,1.0,0.0329,0.1404
SouthGermanCredit,uniqueness,0.75,60.3,C,1.0,0.25,1.0,1.0,0.9396,0.6,1.0,0.0869,0.411
SouthGermanCredit,feature_accuracy,0.75,65.98,C,1.0,1.0,1.0,1.0,0.7671,0.6,1.0,0.0173,0.08
SouthGermanCredit,consistent_repr,0.75,64.7,C,1.0,1.0,1.0,0.25,0.9408,0.6,1.0,0.0869,0.4755
SouthGermanCredit,class_balance,0.75,68.39,C,1.0,1.0,1.0,1.0,0.9576,0.25,1.0,0.061,0.4884
SouthGermanCredit,completeness,0.9,44.27,D,0.1,0.7188,1.0,1.0,0.6938,0.6,1.0,0.0,0.2019
SouthGermanCredit,uniqueness,0.9,58.95,D,1.0,0.2,1.0,1.0,0.9392,0.6,1.0,0.0869,0.3511
SouthGermanCredit,feature_accuracy,0.9,66.12,C,1.0,1.0,1.0,1.0,0.7188,0.6,1.0,0.0185,0.1158
SouthGermanCredit,consistent_repr,0.9,62.98,C,1.0,1.0,1.0,0.1,0.9408,0.6,1.0,0.0869,0.4533
SouthGermanCredit,class_balance,0.9,66.26,C,1.0,1.0,1.0,1.0,0.9576,0.1,1.0,0.0044,0.5386
SouthGermanCredit,completeness,0.95,38.46,D,0.05,0.4125,1.0,1.0,0.68,0.6,1.0,0.0,0.1876
SouthGermanCredit,uniqueness,0.95,58.69,D,1.0,0.1667,1.0,1.0,0.9398,0.6,1.0,0.0869,0.3757
SouthGermanCredit,feature_accuracy,0.95,65.37,C,1.0,1.0,1.0,1.0,0.6917,0.6,1.0,0.0,0.0912
SouthGermanCredit,consistent_repr,0.95,62.68,C,1.0,1.0,1.0,0.05,0.9408,0.6,1.0,0.0869,0.4735
SouthGermanCredit,class_balance,0.95,65.82,C,1.0,1.0,1.0,1.0,0.9576,0.05,1.0,0.0,0.5537
letter,none,0.0,91.59,A,1.0,0.9401,1.0,1.0,0.9543,0.9539,1.0,0.6591,1.0
letter,completeness,0.1,82.24,B,0.9,0.996,1.0,1.0,0.89,0.9539,1.0,0.2656,1.0
letter,uniqueness,0.1,85.9,B,1.0,0.6665,1.0,1.0,0.9544,0.7351,1.0,0.6888,1.0
letter,feature_accuracy,0.1,90.89,A,1.0,1.0,1.0,1.0,0.9396,0.9539,1.0,0.5828,1.0
letter,class_balance,0.1,92.2,A,1.0,0.9622,1.0,1.0,0.9549,0.9183,1.0,0.6903,1.0
letter,completeness,0.25,75.94,B,0.75,0.9999,1.0,1.0,0.7939,0.9539,1.0,0.1215,1.0
letter,uniqueness,0.25,83.34,B,1.0,0.5,1.0,1.0,0.9543,0.7346,1.0,0.6861,1.0
letter,feature_accuracy,0.25,83.53,B,1.0,1.0,1.0,1.0,0.895,0.9539,1.0,0.3003,0.8514
letter,class_balance,0.25,90.53,A,1.0,0.9613,1.0,1.0,0.9545,0.7549,1.0,0.6893,1.0
letter,completeness,0.5,67.14,C,0.5,1.0,1.0,1.0,0.6336,0.9539,1.0,0.038,0.8674
letter,uniqueness,0.5,80.89,B,1.0,0.3333,1.0,1.0,0.9543,0.7346,1.0,0.6886,1.0
letter,feature_accuracy,0.5,74.48,C,1.0,1.0,1.0,1.0,0.7897,0.9539,1.0,0.1034,0.3924
letter,class_balance,0.5,88.2,B,1.0,0.9613,1.0,1.0,0.9537,0.5098,1.0,0.6959,1.0
letter,completeness,0.75,56.86,D,0.25,0.9772,1.0,1.0,0.4728,0.9539,1.0,0.0217,0.4862
letter,uniqueness,0.75,79.2,B,1.0,0.25,1.0,1.0,0.9541,0.7346,1.0,0.6669,1.0
letter,feature_accuracy,0.75,71.28,C,1.0,1.0,1.0,1.0,0.6812,0.9539,1.0,0.0415,0.2509
letter,class_balance,0.75,86.12,B,1.0,0.9589,1.0,1.0,0.9531,0.2647,1.0,0.7161,1.0
letter,completeness,0.9,45.73,D,0.1,0.6126,1.0,1.0,0.3764,0.9539,1.0,0.0451,0.2221
letter,uniqueness,0.9,78.47,B,1.0,0.2,1.0,1.0,0.9545,0.7346,1.0,0.6677,1.0
letter,feature_accuracy,0.9,70.16,C,1.0,1.0,1.0,1.0,0.6231,0.9539,1.0,0.0286,0.1934
letter,class_balance,0.9,84.74,B,1.0,0.9574,1.0,1.0,0.9529,0.1013,1.0,0.7299,1.0
letter,completeness,0.95,40.01,D,0.05,0.3291,1.0,1.0,0.3445,0.9539,1.0,0.0565,0.168
letter,uniqueness,0.95,78.07,B,1.0,0.1667,1.0,1.0,0.9546,0.7346,1.0,0.6727,1.0
letter,feature_accuracy,0.95,69.91,C,1.0,1.0,1.0,1.0,0.6048,0.9539,1.0,0.0266,0.1818
letter,class_balance,0.95,84.71,B,1.0,0.9569,1.0,1.0,0.9529,0.0621,1.0,0.7488,1.0
