dataset,polluter,level,method,model,score,task,dsc_score
ag_news,label_swap,0.25,probe,mlp,0.7274,classification,83.05
ag_news,label_swap,0.25,probe,knn,0.7861,classification,83.05
ag_news,label_swap,0.5,probe,logreg,0.4705,classification,79.45
ag_news,label_swap,0.5,probe,random_forest,0.7246,classification,79.45
ag_news,label_swap,0.5,probe,mlp,0.5118,classification,79.45
ag_news,label_swap,0.5,probe,knn,0.5954,classification,79.45
ag_news,label_swap,0.75,probe,logreg,0.2637,classification,77.55
ag_news,label_swap,0.75,probe,random_forest,0.2674,classification,77.55
ag_news,label_swap,0.75,probe,mlp,0.2219,classification,77.55
ag_news,label_swap,0.75,probe,knn,0.1949,classification,77.55
ag_news,label_swap,0.9,probe,logreg,0.1459,classification,77.83333333333333
ag_news,label_swap,0.9,probe,random_forest,0.1077,classification,77.83333333333333
ag_news,label_swap,0.9,probe,mlp,0.1343,classification,77.83333333333333
ag_news,label_swap,0.9,probe,knn,0.1087,classification,77.83333333333333
imdb,completeness_text,0.1,probe,logreg,0.7493,classification,79.88
imdb,completeness_text,0.1,probe,random_forest,0.731,classification,79.88
imdb,completeness_text,0.1,probe,mlp,0.856,classification,79.88
imdb,completeness_text,0.1,probe,knn,0.6931,classification,79.88
imdb,completeness_text,0.25,probe,logreg,0.7804,classification,77.25
imdb,completeness_text,0.25,probe,random_forest,0.696,classification,77.25
imdb,completeness_text,0.25,probe,mlp,0.7399,classification,77.25
imdb,completeness_text,0.25,probe,knn,0.6056,classification,77.25
imdb,completeness_text,0.5,probe,logreg,0.4259,classification,71.32666666666667
imdb,completeness_text,0.5,probe,random_forest,0.353,classification,71.32666666666667
imdb,completeness_text,0.5,probe,mlp,0.4339,classification,71.32666666666667
imdb,completeness_text,0.5,probe,knn,0.5868,classification,71.32666666666667
imdb,completeness_text,0.75,probe,logreg,0.6132,classification,62.71333333333333
imdb,completeness_text,0.75,probe,random_forest,0.4399,classification,62.71333333333333
imdb,completeness_text,0.75,probe,mlp,0.4669,classification,62.71333333333333
imdb,completeness_text,0.75,probe,knn,0.6061,classification,62.71333333333333
imdb,completeness_text,0.9,probe,logreg,0.5267,classification,57.69
imdb,completeness_text,0.9,probe,random_forest,0.4486,classification,57.69
imdb,completeness_text,0.9,probe,mlp,0.3495,classification,57.69
imdb,completeness_text,0.9,probe,knn,0.4118,classification,57.69
imdb,noise_injection_text,0.1,probe,logreg,0.7493,classification,78.56333333333333
imdb,noise_injection_text,0.1,probe,random_forest,0.4218,classification,78.56333333333333
imdb,noise_injection_text,0.1,probe,mlp,0.6449,classification,78.56333333333333
imdb,noise_injection_text,0.1,probe,knn,0.6182,classification,78.56333333333333
imdb,noise_injection_text,0.25,probe,logreg,0.582,classification,76.78333333333333
